Pair	dN/dS
26307_PIs	0.8922893634045553
39143_PIs	0.5092887911737494
42080_PIs	0.1254679765878816
56120_PIs	0.3873866393426456
118827_PIs	0.3400723526413023
118860_PIs	-nan
118935_PIs	0.06307733062757716
118973_PIs	0.6467881347088634
118828_PIs	0.08064904232405634
118986_PIs	0.5363823913706477
118954_PIs	0.7653461121890324
118745_PIs	0
118972_PIs	0.1923575577738841
118823_PIs	0.07206118459340465
118853_PIs	0.4111441203025843
118886_PIs	0
118792_PIs	0.2521152285851705
118811_PIs	0.2075583600101426
118903_PIs	0.1010393885772866
118925_PIs	0.02668898155767232
118761_PIs	0.4436572293124615
118846_PIs	0.7424219711391993
118956_PIs	0.1877021813273761
118849_PIs	0
