Pair	dN/dS
42036_NNRTIs	inf
42183_NNRTIs	0.9573193283500648
55928_NNRTIs	0.3211361180065536
21890_NNRTIs	0.4446288936394098
122034_NNRTIs	0.6571858610499965
214046_NNRTIs	inf
252392_NNRTIs	0.4399790775128506
253540_NNRTIs	0
264159_NNRTIs	0.2873279621442184
8349_NNRTIs	0.6243105856619369
9918_NNRTIs	0.2933857378618998
25036_NNRTIs	1.041985927957788
35596_NNRTIs	0.2036219934612929
37879_NNRTIs	0.550204781186649
57448_NNRTIs	0.219501046363591
61483_NNRTIs	0.2564965600334829
61631_NNRTIs	1.782303770254487
