Pair	dN/dS
8006_PIs	0.2173202448579953
14728_PIs	0.4233840453047827
14736_PIs	0.5052946765557642
18380_PIs	2.982591811911284
24950_PIs	inf
25082_PIs	0.8555029999259001
26307_PIs	0.4258684444489131
38099_PIs	inf
39143_PIs	0.5488201736516607
42080_PIs	5.295190124338848
42654_PIs	0.7883923773467622
56141_PIs	0.2347434937778884
56120_PIs	1.67225666215157
57479_PIs	0.1179194013468475
118860_PIs	0
118910_PIs	0.422821116002183
118899_PIs	0
118951_PIs	0.5760307759849363
118935_PIs	0.3808200544126807
118973_PIs	0.411894339163964
118745_PIs	0
118972_PIs	0.1052832268476408
118903_PIs	0.1417916751069056
118846_PIs	0.3345150241497046
118840_PIs	0.1706546463647798
39270_PIs	0.7242269221345231
118856_PIs	0.5543874184441729
118965_PIs	0.1419759325795818
