Pair	dN/dS
26307_PIs	inf
39143_PIs	0.8018081521967032
42080_PIs	0.2299000021735903
56120_PIs	0.7799206526988677
118827_PIs	0.8286369808351384
118860_PIs	-nan
118935_PIs	0
118973_PIs	-nan
118828_PIs	0
118986_PIs	0.2514674199305971
118954_PIs	0.3768812363854993
118745_PIs	-nan
118972_PIs	0
118823_PIs	0.3763917349039099
118853_PIs	inf
118886_PIs	-nan
118792_PIs	0.3815339683260703
118811_PIs	0
118903_PIs	0.1202855595059468
118925_PIs	0
118761_PIs	0
118846_PIs	-nan
118956_PIs	0.1261236420042494
118849_PIs	-nan
