Pair	dN/dS
26307_PIs	0.795532883241383
39143_PIs	0
42080_PIs	0.1957378200460634
56120_PIs	1.195210769381825
118827_PIs	inf
118860_PIs	-nan
118935_PIs	0.1893139542494306
118973_PIs	1.145737969223907
118828_PIs	1.301012228286692
118986_PIs	0.4552259236382564
118954_PIs	inf
118745_PIs	-nan
118972_PIs	0.8149836239391188
118823_PIs	0
118853_PIs	0.4404076369982977
118886_PIs	0
118792_PIs	-nan
118811_PIs	0.2222409545687103
118903_PIs	0.3890233858736049
118925_PIs	0.06463837825539775
118761_PIs	0.6974558751000741
118846_PIs	0.7168307991111537
118956_PIs	1.146066151075095
118849_PIs	0
