Accession,QCIssue,NumAPOBECs,NumConservedAPOBECSites,ADIndex
K03455,True,0,41,0.0
A07108,True,0,41,0.0
A07116,True,0,41,0.0
A34828,True,0,41,0.0
AB023804,True,0,41,0.0
AB032740,True,0,41,0.0
AB032741,True,0,41,0.0
AB049811,True,0,41,0.0
AB052995,True,0,41,0.0
AB070352,True,0,41,0.0
AB074049,True,0,41,0.0
AB074052,True,0,41,0.0
AB074054,True,0,41,0.0
AB074057,True,0,41,0.0
AB074059,True,0,41,0.0
AB074061,True,1,41,0.024390243902439025
AB074064,True,0,41,0.0
AB074067,True,2,41,0.04878048780487805
AB074070,False,13,41,0.3170731707317073
AB074073,False,12,41,0.2926829268292683
AB074076,True,2,41,0.04878048780487805
AB078005,True,0,41,0.0
AB078678,True,0,41,0.0
AB078679,True,0,41,0.0
AB078680,True,0,41,0.0
AB078681,True,0,41,0.0
AB078682,True,0,41,0.0
AB078683,True,0,41,0.0
AB078684,True,0,41,0.0
AB078685,True,0,41,0.0
AB078686,True,0,41,0.0
AB078687,True,0,41,0.0
AB078688,True,0,41,0.0
AB078689,True,0,41,0.0
AB078690,True,0,41,0.0
AB078691,True,0,41,0.0
AB078692,True,0,41,0.0
AB078693,True,0,41,0.0
AB078694,True,0,41,0.0
AB078695,True,0,41,0.0
AB078696,True,0,41,0.0
AB078697,True,0,41,0.0
AB078698,True,0,41,0.0
AB078699,True,0,41,0.0
AB078700,True,0,41,0.0
AB078701,True,0,41,0.0
AB078702,True,0,41,0.0
AB078703,True,0,41,0.0
AB078704,True,0,41,0.0
AB078705,True,0,41,0.0
AB078706,True,0,41,0.0
AB078707,True,0,41,0.0
AB078708,True,0,41,0.0
AB078709,True,0,41,0.0
AB078710,True,0,41,0.0
AB078711,True,0,41,0.0
AB078712,True,0,41,0.0
AB078713,True,0,41,0.0
AB078715,True,0,41,0.0
AB078716,True,0,41,0.0
AB090997,True,0,41,0.0
AB097865,True,0,41,0.0
AB097866,True,0,41,0.0
AB097867,True,0,41,0.0
AB097868,True,0,41,0.0
AB097869,True,0,41,0.0
AB097870,True,0,41,0.0
AB097871,True,0,41,0.0
AB097872,True,0,41,0.0
AB097873,True,0,41,0.0
AB098330,True,0,41,0.0
AB098332,True,0,41,0.0
AB213667,True,0,41,0.0
AB213668,True,0,41,0.0
AB213669,True,0,41,0.0
AB213670,True,0,41,0.0
AB213671,True,0,41,0.0
AB213672,True,0,41,0.0
AB213673,True,0,41,0.0
AB213674,True,0,41,0.0
AB213675,True,0,41,0.0
AB213676,True,0,41,0.0
AB213677,True,0,41,0.0
AB213678,True,0,41,0.0
AB213679,True,0,41,0.0
AB213680,True,0,41,0.0
AB213681,True,0,41,0.0
AB213682,True,0,41,0.0
AB213683,True,0,41,0.0
AB213684,True,0,41,0.0
AB213685,True,0,41,0.0
AB213686,True,0,41,0.0
AB213687,True,0,41,0.0
AB213688,True,0,41,0.0
AB213689,True,0,41,0.0
AB213690,True,0,41,0.0
AB213691,True,0,41,0.0
AB213692,True,0,41,0.0
AB220948,True,0,41,0.0
AB221005,True,0,41,0.0
AB221125,True,0,41,0.0
AB231893,True,0,41,0.0
AB253421,True,0,41,0.0
AB253423,True,0,41,0.0
AB253424,True,0,41,0.0
AB253426,True,0,41,0.0
AB253428,True,0,41,0.0
AB253430,True,0,41,0.0
AB253635,True,0,41,0.0
AB253647,True,0,41,0.0
AB253659,True,0,41,0.0
AB253692,True,0,41,0.0
AB253703,True,0,41,0.0
AB254143,True,0,41,0.0
AB254146,True,0,41,0.0
AB254150,True,0,41,0.0
AB286849,True,0,41,0.0
AB286853,True,0,41,0.0
AB286855,True,0,41,0.0
AB286857,True,0,41,0.0
AB286859,True,0,41,0.0
AB286861,True,0,41,0.0
AB286863,True,0,41,0.0
AB286955,True,0,41,0.0
AB287364,True,0,41,0.0
AB287366,True,0,41,0.0
AB287369,True,0,41,0.0
AB287376,True,0,41,0.0
AB287378,True,0,41,0.0
AB289587,True,0,41,0.0
AB289589,True,0,41,0.0
AB428551,True,0,41,0.0
AB428552,True,0,41,0.0
AB428553,True,0,41,0.0
AB428554,True,0,41,0.0
AB428555,True,0,41,0.0
AB428556,True,0,41,0.0
AB428557,True,0,41,0.0
AB428558,True,0,41,0.0
AB428559,True,0,41,0.0
AB428560,True,0,41,0.0
AB428561,True,0,41,0.0
AB428562,True,1,41,0.024390243902439025
AB468575,True,0,41,0.0
AB480044,True,0,41,0.0
AB480047,True,0,41,0.0
AB480298,True,0,41,0.0
AB480300,True,0,41,0.0
AB480692,True,0,41,0.0
