PubID,PubMedID,PubYear,NumPts,NumIsolates,NumLANLIsolates,NumLANLIsolatesQCPassed,Title,Authors,Subtypes,RxStatus,Notes
PM16701907,16701907,2006,3416,3614,252,252,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",A1; A1C; AC; B; C,Naive,
PM20231689,20231689,2010,555,1012,235,235,Adaptive interactions between HLA and HIV-1: highly divergent selection imposed by HLA class I molecules with common supertype motifs,"John,M., Heckerman,D., James,I., Park,L.P., Carlson,J.M., Chopra,A., Gaudieri,S., Nolan,D., Haas,D.W., Riddler,S.A., Haubrich,R. and Mallal,S.",B; C,Naive,
PM20949103,20949103,2010,,510,150,150,Genetic signatures in the envelope glycoproteins of HIV-1 that associate with broadly neutralizing antibodies,"Gnanakaran,S., Daniels,M.G., Bhattacharya,T., Lapedes,A.S., Sethi,A., Li,M., Tang,H., Greene,K., Gao,H., Haynes,B.F., Cohen,M.S., Shaw,G.M., Seaman,M.S., Kumar,A., Gao,F., Montefiori,D.C. and Korber,B.",01_AE; 02A1; 02_AG; 07_BC; 08_BC; A1; A1C; A1CD; A1D; B; BC; C; CD; CF1; D,Naive,
PM28384158,28384158,,,519,123,123,"Accurate Predictions of Changes in Structural Features of HIV-1 Env in Patients and Population Using a Volatility-controlled, Restrained Diffusion Model","DeLeon,O., Hodis,H., O'Malley,Y., Johnson,J., Salimi,H., Zhai,Y., Winter,E., Remec,C., Eichelberger,N., Van Cleave,B., Puliadi,R., Harrington,R., Stapleton,J. and Haim,H.",A1; B; D,Unknown,
PM22960785,22960785,2012,110,1034,115,115,Increased HIV-1 vaccine efficacy against viruses with genetic signatures in Env V2,"Rolland,M., Edlefsen,P.T., Larsen,B.B., Tovanabutra,S., Sanders-Buell,E., Hertz,T., deCamp,A.C., Carrico,C., Menis,S., Magaret,C.A., Ahmed,H., Juraska,M., Chen,L., Konopa,P., Nariya,S., Stoddard,J.N., Wong,K., Zhao,H., Deng,W., Maust,B.S., Bose,M., Howell,S., Bates,A., Lazzaro,M., O'Sullivan,A., Lei,E., Bradfield,A., Ibitamuno,G., Assawadarachai,V., O'Connell,R.J., deSouza,M.S., Nitayaphan,S., Rerks-Ngarm,S., Robb,M.L., McLellan,J.S., Georgiev,I., Kwong,P.D., Carlson,J.M., Michael,N.L., Schief,W.R., Gilbert,P.B., Mullins,J.I. and Kim,J.H.",01B; 01_AE; 02_AG; B,Naive,
PM24583617,24583617,2014,194,143,115,115,"Epidemiology of HIV-1 subtypes among men who have sex with men in Cape Town, South Africa","Rademeyer,C., Middelkoop,K., Brown,B., Cashmore,T.J., Marais,J., Scheibe,A., Bandawe,G., Myer,L., Williamson,C. and Bekker,L.-G.",A1; A1C; B; BC; BF1; C; F2,Naive,
PM18419549,18419549,2008,73,259,112,112,"Specific enfuvirtide-associated mutational pathways in HIV-1 Gp41 are significantly correlated with an increase in CD4(+) cell count, despite virological failure","Svicher,V., Aquaro,S., D'Arrigo,R., Artese,A., Dimonte,S., Alcaro,S., Santoro,M.M., Di Perri,G., Caputo,S.L., Bellagamba,R., Zaccarelli,M., Visco-Comandini,U., Antinori,A., Narciso,P., Ceccherini-Silberstein,F. and Perno,C.F.",02_AG; AG; B,Rx-PI,
PM27841669,27841669,2016,,,95,95,"HIV-1 Genetic Diversity Among Incident Infections in Mbeya, Tanzania","Billings,E., Sanders-Buell,E., Bose,M., Kijak,G.H., Bradfield,A., Crossler,J., Arroyo,M.A., Maboko,L., Hoffmann,O., Geis,S., Birx,D.L., Kim,J.H., Michael,N.L., Robb,M.L., Hoelscher,M. and Tovanabutra,S.",41_CD; A1; A1C; A1CD; A1D; C; CD; D,Naive,
PM21453134,21453134,2011,74,74,72,72,Molecular Characterization of HIV Type 1 Strains from Newly Diagnosed Patients in Cyprus (2007-2009) Recovers Multiple Clades Including Unique Recombinant Strains and Lack of Transmitted Drug Resistance,"Kousiappa,I., Achilleos,C., Hezka,J., Lazarou,Y., Othonos,K., Demetriades,I. and Kostrikis,L.G.",02BG; 02D; 02_AG; 11_cpx; 37_cpx; A1; A1B; A1F1; A1U; A6; B; BF1; C; F1; U,Naive,
PM23807275,23807275,2013,75,75,69,69,The rapidly expanding CRF01_AE epidemic in China is driven by multiple lineages of HIV-1 viruses introduced in the 1990s,"Feng,Y., He,X., Hsi,J.H., Li,F., Li,X., Wang,Q., Ruan,Y., Xing,H., Lam,T.T., Pybus,O.G., Takebe,Y. and Shao,Y.",01_AE,ProbablyNaive,
