PubID,PubMedID,PubYear,NumPts,NumIsolates,NumLANLIsolates,Title,Authors,Subtypes,RxStatus,Notes
PM19690614,19690614,,,1080,488,"HLA-associated immune escape pathways in HIV-1 subtype B Gag, Pol and Nef proteins","Brumme,Z.L., John,M., Carlson,J.M., Brumme,C.J., Chan,D., Brockman,M.A., Swenson,L.C., Tao,I., Szeto,S., Rosato,P., Sela,J., Kadie,C.M., Frahm,N., Brander,C., Haas,D.W., Riddler,S.A., Haubrich,R., Walker,B.D., Harrigan,P.R., Heckerman,D. and Mallal,S.",01B; 01_AE; 02A1; 02_AG; A1; A1C; A1H; B; C; D; F1,Naive,
PM24522911,24522911,2014,,760,397,Host-Specific Adaptation of HIV-1 Subtype B in the Japanese Population,"Chikata,T., Carlson,J.M., Tamura,Y., Borghan,M.A., Naruto,T., Hashimoto,M., Murakoshi,H., Le,A.Q., Mallal,S., John,M., Gatanaga,H., Oka,S., Brumme,Z.L. and Takiguchi,M.",01B; B; BF1,Naive,
PM19242411,19242411,,,1764,324,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",C; CF1U; U,Naive,
PM20702636,20702636,2010,,405,279,Gag-protease-mediated replication capacity in HIV-1 subtype C chronic infection: associations with HLA type and clinical parameters,"Wright,J.K., Brumme,Z.L., Carlson,J.M., Heckerman,D., Kadie,C.M., Brumme,C.J., Wang,B., Losina,E., Miura,T., Chonco,F., van der Stok,M., Mncube,Z., Bishop,K., Goulder,P.J., Walker,B.D., Brockman,M.A. and Ndung'u,T.",C,Naive,
HShwMxXUZDMl-BsQ_4Vxo6Ww,,2014,,,264,Direct Submission,"Gui,T.",BC,Unpublished,
PM16701907,16701907,2006,,3614,253,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",A1; A1C; AC; B; C,Naive,
PM25013080,25013080,2014,,1493,225,HIV transmission. Selection bias at the heterosexual HIV-1 transmission bottleneck,"Carlson,J.M., Schaefer,M., Monaco,D.C., Batorsky,R., Claiborne,D.T., Prince,J., Deymier,M.J., Ende,Z.S., Klatt,N.R., Deziel,C.E., Lin,T.H., Peng,J., Seese,A.M., Shapiro,R., Frater,J., Ndung'U,T., Tang,J., Goepfert,P., Gilmour,J., Price,M.A., Kilembe,W., Heckerman,D., Goulder,P.J., Allen,T.M., Allen,S. and Hunter,E.",C; CD; CG,Naive,
PM20567513,20567513,2010,,370,215,HLA-associated immune pressure on Gag protein in CRF01_AE-infected individuals and its association with plasma viral load,"Gesprasert,G., Wichukchinda,N., Mori,M., Shiino,T., Auwanit,W., Sriwanthana,B., Pathipvanich,P., Sawanpanyalert,P., Miura,T., Auewarakul,P., Thitithanyanont,A. and Ariyoshi,K.",01_AE,Naive,
PM15592417,15592417,,,275,188,Dominant influence of HLA-B in mediating the potential co-evolution of HIV and HLA,"Kiepiela,P., Leslie,A.J., Honeyborne,I., Ramduth,D., Thobakgale,C., Chetty,S., Rathnavalu,P., Moore,C., Pfafferott,K., Hilton,L., Zimbwa,P., Moore,S., Allen,T., Brander,C., Addo,M.M., Atfeld,M., James,I., Mallal,S., Bunce,M., Barber,L.D., Szinger,J., Day,C., Klenerman,P., Mullins,J., Korber,B., Coovadia,H.M., Walker,B.D. and Goulder,P.J.R.",01B; 01_AE; 02_AG; 06_cpx; A1BC; A1D; A2C; B; BC; C,Naive,
PM26381060,26381060,,,281,169,"HIV-1 Thai B strains has spread out of former plasma donors into general population through sexual contact in Henan, China","Li,L., Sun,G., Zhong,P., Han,J., Li,T., Jia,D., Liu,Y., Sun,C., Wang,Z., Li,H., Wang,X. and Li,J.",01B; 01C; 01_AE; B; BC; C,Naive,
