PubID,PubIDCorrection,PMID,PubYr,NumIsolates,Title,Authors,RxStatus,Notes
HSJF3hQ2yR6IFpbp7585Kfjw,PM19619035,19619035,,66,Near Full-Length Genetic Analysis of HIV Sequences Derived from Cyprus: Evidence of a Highly Polyphy,"Kousiappa,I., Van de Vijver,D.A.M.C. and Kosrtikis",Mixed,
HSNGyYrGZsXYoWstdIVYOjEg,,,,55,"Characterization of near full-length genomes of HIV-1 in Yunnan, China: dominance of multiple circul","Liu,Y.",Unpublished,
HSpc7ct7_jZSV2vqJ_pHwqQw,PM18941505,18941505,,252,HLA-driven Convergence of HIV-1 Viral Subtypes Toward the Adaptation to Immune Responses in Human Po,"Dilernia,D.A., Jones,L., Rodriguez,S., Turk,G., Ru",Unknown,
HSwtq3rcVCCYI1gHJEiPxTKg,,,,30,Evolutionary analysis of ultra-frequent defective G to A mutations observed in the provirus of HIV-1,"Shiino,T., Miura,H., Iwamoto,A., Tateishi,S., Naga",Unpublished,
HS0f2XPjT61ZbskWaw0htc4g,,,,27,PCR amplicon free whole genome charecterization of Human immunodeficiency virus type -1 genotypes,"Ragupathy,V., Voskanian-Kordi,A., Karagiannis,K., ",Unpublished,
HSxxLW4SgONIjbgppByJ3qmQ,,,,40,A comprehensive panel of infectious molecular clones derived from HIV isolates of BBI subtype infect,"Takekawa,N., Takeda,S., Uchiyama,C. and Tatsumi,M.",Unpublished,
HSyP72qgHnMw0_dc6j-MkLBw,,,,18,Direct Submission,"Cuevas,M.T., Delgado,E., Sanchez-Martinez,M., Thom",Unpublished,
HSX_KISyrIK_JP7BeEYGpD7Q,,,,15,Direct Submission,"Wei,H.",Unpublished,
HSw1Ml4BFzYLnMjHTW60IHCg,,,,12,Direct Submission,"Cuevas,T., Sanchez,M., Delgado,E., Carrera,C., Mon",Unpublished,
HS8sbdLBJk-Tl8GLZmDGR0hQ,,,,54,Impaired fitness of acute/early viruses in persons who become HIV controllers,"Miura,T.",Unpublished,
HSfm3wIo3Wk9L5t_a1xjO2Og,,,,10,Molecular epidemiology of HIV in central region of Nepal,"Bhusal,N., Horthongkham,N., Kantakamalakul,W. and ",Unpublished,
HSF75UnQ497ajANlytD39eQQ,PM27314585,27314585,2016,10,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Montefiori,D., Paranjape,R., Kul",Naive,
HScGpsEWCfqwpdZ_FJkOXkHA,,,,16,Construction and characterization of HIV-1 subtype C infectious molecular clones derived from Zambia,"Tatsumi,M., Hara,T., Sakamoto,Y., Terunuma,H., Ich",Unpublished,
HSxryNb6ePXi7YPeXZe0Jf9A,PM19619035,19619035,,11,Near Full-Length Genetic Analysis of HIV Sequences Derived from Cyprus: Evidence of a Highly Polyphy,"Kousiappa,I., Van de Vijver,D.A.M.C. and Kostrikis",Mixed,
