PubID,PubIDCorrection,PMID,PubYr,NumPts,NumIsolates,Title,Authors,RxStatus,
HSJuAFbB8MtNhIh0vE-nLvdw,,,,40,40,CAVD/CA-VIMC Neutralization Serotype Discovery Project,"Hahn,B.H., Swanstrom,R., Gao,F., Kim,J., Seaman,M.",Unpublished,
HSJ4-yI1CPG6lQEs7JGavQwg,,,,,41,CAVD/CA-VIMC Neutralization Serotype Discovery Project,"Hahn,B.H., Swanstrom,R., Gao,F., Kim,J., Seaman,M.",Unpublished,
HSk_VvIU1uaouvEdA1E8XNkg,,,,,142,CAVD CAVIMC Neutralization Serotype Discovery Project,"Sanders-Buell,E., Montefiori,D., Seaman,M., Willia",Unpublished,
HSre3-WIP1JIe8iefE6zCe_A,,,,,16,CAVD/CA-VIMC Southern Africa HIV-1 Env-pseudotyped Virus Panel Project,"Hahn,B.H., Montefiori,D.C., Williamson,C., Swanstr",Unpublished,
HSd3PJnB5xWmLdJaow14tHmg,,,,,77,Phylogenetic analysis of full-length env gene from 2 plasma donors and hemophiliacs infected with Ko,"Cho,Y.-K.",Unpublished,
HSw1Ml4BFzYLnMjHTW60IHCg,,,,,12,Direct Submission,"Cuevas,T., Sanchez,M., Delgado,E., Carrera,C., Mon",Unpublished,
HSLoxvOW5LZt2Clk1Ec4-mxA,,,,,14,Molecular Epidemiology of Human Immunodeficiency Virus Infected Individuals in Uruguay,"Eyzaguirre,L.M., Vinoles,J., Serra,M., Russi,J.C.,",Unpublished,
HSxryNb6ePXi7YPeXZe0Jf9A,PM19619035,19619035,,,11,Near Full-Length Genetic Analysis of HIV Sequences Derived from Cyprus: Evidence of a Highly Polyphy,"Kousiappa,I., Van de Vijver,D.A.M.C. and Kostrikis",Mixed,
HS25XNPgWeLuk82zkbnN-k9A,,,,,11,Direct Submission,"Joshi,A., Sedano,M.J., Punke,E. and Garg,H.",Unpublished,
HSRUYUdt0Qi7DdbYKaku1BTg,,,,,11,Direct Submission,"Thebus,R., Rademeyer,C., Marais,J. and Williamson,",Unpublished,
HSq3kTa5JN7RSz1_3VfkCxGg,,,,,11,Molecular Epidemiology of Human Immunodeficiency Virus-Infected Individuals in Paraguay,"Eyzaguirre,L.M., Avila,M., Gomez-Carrillo,M., Sanc",Unpublished,
HSWMmFMqzpNMiOjAlh7KFQmQ,,,,,11,Direct Submission,"Tovanabutra,S., Sanders-Buell,E., Bose,M., O Sulli",Unpublished,
HS5_HRv9yYVYdIDQXgIlXafA,HSd3PJnB5xWmLdJaow14tHmg,,,,59,Phylogenetic analysis of full-length env gene from 2 plasma donors and hemophiliacs infected with Ko,"Cho,Y.K.",Unpublished,
HScGpsEWCfqwpdZ_FJkOXkHA,,,,,16,Construction and characterization of HIV-1 subtype C infectious molecular clones derived from Zambia,"Tatsumi,M., Hara,T., Sakamoto,Y., Terunuma,H., Ich",Unpublished,
HSH12PfCwFEos06A7PINwifQ,,,,,11,Human immunodeficiency virus type 1 subtype B env clones from chronically infected individuals in Pe,"Li,M., Zuniga,R., Brander,C. and Montefiori,D.C.",Unpublished,
HSYTklqrZsgJB1GPV57f4ClQ,,,2007,,9,Direct Submission,"Kirchherr,J.L., Jiang,C. and Gao,F.",Unpublished,
HSqd-DPVNkOHJ0mckeIU3QSw,,,,,16,An association between amino acid substitutions in the Silent Face of Human immunodeficiency virus t,"Daniels,R.S., Beddows,S., Wilson,P., Douglas,N.W.,",Unpublished,
HSQXG-s4Y1EyGLm6t9KEMmtQ,,,,,8,Near Full-Length Genome Sequences of HIV-1 CRF06/A1 recombinat forms in Estonian Intravenous Drug Us,"Avi,R. and Lutsar,I.",Unpublished,
,,,,,8,Direct Submission,"Thebus,R., Rademeyer,C. and Williamson,C.",Unpublished,
HSzboQ1Glwm0VN4Ea2nUJTpA,,,,,8,"Molecular and epidemiological characterization of HIV-1 infected individuals from Medellin, Columbia","Sanchez,G.I., Carrion,G., Eyzaguirre,L., Arias,S.,",,
HSxLJdcvAxBfbU0fj8uFpR-Q,,,,,67,Replication-competent non-induced proviruses in the latent reservoir increase barrier to HIV-1 cure,"Ho,Y.-C., Shan,L., Hosmane,N.N., Wang,J., Laskey,S",,
,,,,,9,Genetic characterization of six full-length HIV-1 genomes from India reveals a monophyletic lineage ,"Pandey,S.S., Kulkarni,S., Thakar,M. and Paranjape,",,
,,,,,7,"Five new CRF07_BC near full-length sequences isolated from Sichuan, China","Meng,Z., Xin,R., Zhang,X. and Xu,J.",,
,,,,,7,Direct Submission,"Revilla,A., Delgado,E. and Thomson,M.",,
,,,,,7,CAVD/CA-VIMC Neutralization Serotype Discovery Project,"Sanders-Buell,E., Montefiori,D., Seaman,M., Willia",,
,,,,,6,Acute Subtype B SGA env Z Patients,"Anderson,J., Ping,L.-H., Takamune,N. and Swanstrom",,
,,,,,6,Identification of CRF17_BF in Four South American Countries,"Carr,J.K., Gomez-Carrillo,M., Avila,M., Montano,S.",,
,,,,,6,"HIV Subtype and Drug Resistance Patterns among Drug Naive Persons in Jos, Nigeria","Carr,J.K., Lar,P., Bemis,K., Jelpe,J., Ayuba,L., Z",,
,,,,,6,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates establis,"Hora,B., Chen,Y., Ragupathy,V., Hewlett,I., Denny,",,
,,,,,6,Antigenicity and functional properties of recombinant envelope glycoproteins derived from ten HIV-1 ,"Lemiale,F., Brand,D. and Barin,F.",,
,,,,,6,Direct Submission,"Revilla,A., Fernandez-Garcia,A., Delgado,E. and Th",,
,,,,,6,Infectious DNA clones of subtype G and CRF02_AG HIV-1 derived from Ghananian isolates,"Tatsumi,M., Kinomoto,M., Nii-Trebi,N., Sakamoto,Y.",,
,,,,,10,Construction and characterization of HIV-1 CRF02_AG infectious molecular clones derived from Ghanaia,"Sakamoto,Y., Takekawa,N., Ampofo,W., Sata,T. and T",,
,,,,,10,Construction and characterization of infectious molecular clones derived from japanese blood donors,"Umeki-Sakamoto,Y., Takekawa,N. and Tatsumi,M.",,
,,,,,8,Construction and characterization of naive HIV-1 subtypeB infectious molecular clones derived from J,"Sakamoto,Y., Takekawa,N., Nishizawa,M., Sugiura,W.",,
,,,,,6,Direct Submission,"Bandawe,G.",,
