Accession,Subtype,SamplingYear,PubMedID,Title,Authors,PubYear
K03455,B,,2578615,"Complete nucleotide sequence of the AIDS virus, HTLV-III","Ratner,L., Haseltine,W., Patarca,R., Livak,K.J., Starcich,B., Josephs,S.F., Doran,E.R., Rafalski,J.A., Whitehorn,E.A., Baumeister,K., Ivanoff,L., Petteway,S.R. Jr., Pearson,M.L., Lautenberger,J.A., Papas,T.S., Ghrayeb,J., Chang,N.T., Gallo,R.C. and Wong-Staal,F.",1985
A07108,D,1983,,"Variants of lav viruses, their dna- and protein components and their uses, particularly for diagnostic purposes and for the preparation of immunogenic compositions","Alizon,M., Sonigo,P., Wain-Hobson,S. and Montagnier,L.",1988
A07116,A1DK,1985,,"Variants of lav viruses, their dna- and protein components and their uses, particularly for diagnostic purposes and for the preparation of immunogenic compositions","Alizon,M., Sonigo,P., Wain-Hobson,S. and Montagnier,L.",1988
A34828,D,1983,,"HIGHLY CYTOPATHOGENIC HIV-NDK RETROVIRUS, DNA FRAGMENTS OF THIS RETROVIRUS, METHOD FOR PREPARING A PROTEIN AND/OR AN ENZYME OF THIS VIRUS, AND THE APPLICATIONS OF THESE",,1990
AB023804,C,1993,10505681,An infectious DNA clone of HIV type 1 subtype C,"Mochizuki,N., Otsuka,N., Matsuo,K., Shiino,T., Kojima,A., Kurata,T., Sakai,K., Yamamoto,N., Isomura,S., Dhole,T.N., Takebe,Y., Matsuda,M. and Tatsumi,M.",1999
AB032740,01_AE,1995,11429129,Full-length sequences of two CRF01_ae (subtype e) HIV type 1 isolates from 1995 samples of patients with sexually transmitted diseases in Thailand,"Auwanit,W., Mukai,T., Ayuthaya,P.I., Kurata,T. and Ikuta,K.",2001
AB032741,01_AE,1995,11429129,Full-length sequences of two CRF01_ae (subtype e) HIV type 1 isolates from 1995 samples of patients with sexually transmitted diseases in Thailand,"Auwanit,W., Mukai,T., Ayuthaya,P.I., Kurata,T. and Ikuta,K.",2001
AB049811,02_AG,1997,11375062,"Isolation and characterization of a full-length molecular DNA clone of Ghanaian HIV type 1 intersubtype A/G recombinant CRF02_AG, which is replication competent in a restricted host range","Kusagawa,S., Takebe,Y., Yang,R., Motomura,K., Ampofo,W., Brandful,J., Koyanagi,Y., Yamamoto,N., Sata,T., Ishikawa,K., Nagai,Y. and Tatsumi,M.",2001
AB052995,01_AE,1993,11356968,Augmentation of human immunodeficiency virus type 1 subtype E (CRF01_AE) multiple-drug resistance by insertion of a foreign 11-amino-acid fragment into the reverse transcriptase,"Sato,H., Tomita,Y., Ebisawa,K., Hachiya,A., Shibamura,K., Shiino,T., Yang,R., Tatsumi,M., Gushi,K., Umeyama,H., Oka,S., Takebe,Y. and Nagai,Y.",2001
AB070352,01_AE,1993,11839144,Isolation and characterization of replication-competent molecular DNA clones of HIV type 1 CRF01_AE with different coreceptor usages,"Kusagawa,S., Sato,H., Tomita,Y., Tatsumi,M., Kato,K., Motomura,K., Yang,R. and Takebe,Y.",2002
