PubMedID,PubYear,NumPatients,RxStatus,Title,Subtypes,Authors
16701907,2006,252,Naive,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes",A1; A1C; AC; B; C,"Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I."
20231689,2010,235,Naive,Adaptive interactions between HLA and HIV-1: highly divergent selection imposed by HLA class I molecules with common supertype motifs,B; C,"John,M., Heckerman,D., James,I., Park,L.P., Carlson,J.M., Chopra,A., Gaudieri,S., Nolan,D., Haas,D.W., Riddler,S.A., Haubrich,R. and Mallal,S."
20949103,2010,150,Naive,Genetic signatures in the envelope glycoproteins of HIV-1 that associate with broadly neutralizing antibodies,01_AE; 02A1; 02_AG; 07_BC; 08_BC; A1; A1C; A1CD; A1D; B; BC; C; CD; CF1; D,"Gnanakaran,S., Daniels,M.G., Bhattacharya,T., Lapedes,A.S., Sethi,A., Li,M., Tang,H., Greene,K., Gao,H., Haynes,B.F., Cohen,M.S., Shaw,G.M., Seaman,M.S., Kumar,A., Gao,F., Montefiori,D.C. and Korber,B."
28384158,,123,Unknown,"Accurate Predictions of Changes in Structural Features of HIV-1 Env in Patients and Population Using a Volatility-controlled, Restrained Diffusion Model",A1; B; D,"DeLeon,O., Hodis,H., O'Malley,Y., Johnson,J., Salimi,H., Zhai,Y., Winter,E., Remec,C., Eichelberger,N., Van Cleave,B., Puliadi,R., Harrington,R., Stapleton,J. and Haim,H."
22960785,2012,115,Naive,Increased HIV-1 vaccine efficacy against viruses with genetic signatures in Env V2,01B; 01_AE; 02_AG; B,"Rolland,M., Edlefsen,P.T., Larsen,B.B., Tovanabutra,S., Sanders-Buell,E., Hertz,T., deCamp,A.C., Carrico,C., Menis,S., Magaret,C.A., Ahmed,H., Juraska,M., Chen,L., Konopa,P., Nariya,S., Stoddard,J.N., Wong,K., Zhao,H., Deng,W., Maust,B.S., Bose,M., Howell,S., Bates,A., Lazzaro,M., O'Sullivan,A., Lei,E., Bradfield,A., Ibitamuno,G., Assawadarachai,V., O'Connell,R.J., deSouza,M.S., Nitayaphan,S., Rerks-Ngarm,S., Robb,M.L., McLellan,J.S., Georgiev,I., Kwong,P.D., Carlson,J.M., Michael,N.L., Schief,W.R., Gilbert,P.B., Mullins,J.I. and Kim,J.H."
24583617,2014,115,Naive,"Epidemiology of HIV-1 subtypes among men who have sex with men in Cape Town, South Africa",A1; A1C; B; BC; BF1; C; F2,"Rademeyer,C., Middelkoop,K., Brown,B., Cashmore,T.J., Marais,J., Scheibe,A., Bandawe,G., Myer,L., Williamson,C. and Bekker,L.-G."
18419549,2008,112,RxRTI+PI,"Specific enfuvirtide-associated mutational pathways in HIV-1 Gp41 are significantly correlated with an increase in CD4(+) cell count, despite virological failure",02_AG; AG; B,"Svicher,V., Aquaro,S., D'Arrigo,R., Artese,A., Dimonte,S., Alcaro,S., Santoro,M.M., Di Perri,G., Caputo,S.L., Bellagamba,R., Zaccarelli,M., Visco-Comandini,U., Antinori,A., Narciso,P., Ceccherini-Silberstein,F. and Perno,C.F."
27841669,2016,95,Naive,"HIV-1 Genetic Diversity Among Incident Infections in Mbeya, Tanzania",41_CD; A1; A1C; A1CD; A1D; C; CD; D,"Billings,E., Sanders-Buell,E., Bose,M., Kijak,G.H., Bradfield,A., Crossler,J., Arroyo,M.A., Maboko,L., Hoffmann,O., Geis,S., Birx,D.L., Kim,J.H., Michael,N.L., Robb,M.L., Hoelscher,M. and Tovanabutra,S."
24447533,2014,86,Naive,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates established at the External Quality Assurance Program Oversight Laboratory (EQAPOL),01A1G; 01B; 01_AE; 02A; 02A1; 02_AG; 11_cpx; 22_01A1; A1; A1A2C; A1C; A1CD; A1D; A1G; A6; B; BC; BF1; C; D; G,"Hora,B., Chen,Y., Denny,T.N., Busch,M., Tadokoro,K. and Gao,F."
21453134,2011,72,Naive,Molecular Characterization of HIV Type 1 Strains from Newly Diagnosed Patients in Cyprus (2007-2009) Recovers Multiple Clades Including Unique Recombinant Strains and Lack of Transmitted Drug Resistance,02BG; 02D; 02_AG; 11_cpx; 37_cpx; A1; A1B; A1F1; A1U; A6; B; BF1; C; F1; U,"Kousiappa,I., Achilleos,C., Hezka,J., Lazarou,Y., Othonos,K., Demetriades,I. and Kostrikis,L.G."
23807275,2013,69,Naive,The rapidly expanding CRF01_AE epidemic in China is driven by multiple lineages of HIV-1 viruses introduced in the 1990s,01_AE,"Feng,Y., He,X., Hsi,J.H., Li,F., Li,X., Wang,Q., Ruan,Y., Xing,H., Lam,T.T., Pybus,O.G., Takebe,Y. and Shao,Y."
27163788,2016,68,Naive,Differences in the Selection Bottleneck between Modes of Sexual Transmission Influence the Genetic Composition of the HIV-1 Founder Virus,02_AG; B; C,"Tully,D.C., Ogilvie,C.B., Batorsky,R.E., Bean,D.J., Power,K.A., Ghebremichael,M., Bedard,H.E., Gladden,A.D., Seese,A.M., Amero,M.A., Lane,K., McGrath,G., Bazner,S.B., Tinsley,J., Lennon,N.J., Henn,M.R., Brumme,Z.L., Norris,P.J., Rosenberg,E.S., Mayer,K.H., Jessen,H., Kosakovsky Pond,S.L., Walker,B.D., Altfeld,M., Carlson,J.M. and Allen,T.M."
21358627,2011,66,Naive,Genetic impact of vaccination on breakthrough HIV-1 sequences from the STEP trial,02_AG; B,"Rolland,M., Tovanabutra,S., deCamp,A.C., Frahm,N., Gilbert,P.B., Sanders-Buell,E., Heath,L., Magaret,C.A., Bose,M., Bradfield,A., O'Sullivan,A., Crossler,J., Jones,T., Nau,M., Wong,K., Zhao,H., Raugi,D.N., Sorensen,S., Stoddard,J.N., Maust,B.S., Deng,W., Hural,J., Dubey,S., Michael,N.L., Shiver,J., Corey,L., Li,F., Self,S.G., Kim,J., Buchbinder,S., Casimiro,D.R., Robertson,M.N., Duerr,A., McElrath,M.J., McCutchan,F.E. and Mullins,J.I."
15542675,2004,60,Unknown,Comprehensive cross-clade neutralization analysis of a panel of anti-human immunodeficiency virus type 1 monoclonal antibodies,01_AE; 12_BF; 73_BG; A1; A1C; A1CD; AG; B; BF1; C; D; F1; G; JU,"Binley,J.M., Wrin,T., Korber,B., Zwick,M.B., Wang,M., Chappey,C., Stiegler,G., Kunert,R., Zolla-Pazner,S., Katinger,H., Petropoulos,C.J. and Burton,D.R."
21980282,2011,59,Naive,Recurrent Signature Patterns in HIV-1 B Clade Envelope Glycoproteins Associated with either Early or Chronic Infections,B,"Gnanakaran,S., Bhattacharya,T., Daniels,M., Keele,B.F., Hraber,P.T., Lapedes,A.S., Shen,T., Gaschen,B., Krishnamoorthy,M., Li,H., Decker,J.M., Salazar-Gonzalez,J.F., Wang,S., Jiang,C., Gao,F., Swanstrom,R., Anderson,J.A., Ping,L.H., Cohen,M.S., Markowitz,M., Goepfert,P.A., Saag,M.S., Eron,J.J., Hicks,C.B., Blattner,W.A., Tomaras,G.D., Asmal,M., Letvin,N.L., Gilbert,P.B., Decamp,A.C., Magaret,C.A., Schief,W.R., Ban,Y.E., Zhang,M., Soderberg,K.A., Sodroski,J.G., Haynes,B.F., Shaw,G.M., Hahn,B.H. and Korber,B."
,2007,55,Unpublished,Direct Submission,B,"Salazar-Gonzalez,J."
,,54,Unpublished,"Characterization of near full-length genomes of HIV-1 in Yunnan, China: dominance of multiple circulating recombinant forms and unique recombinant forms",01B; 01BC; 01_AE; 07_BC; 08_BC; BC; C,"Liu,Y."
19619035,2009,52,RxVariable,Near Full-Length Genetic Analysis of HIV Sequences Derived from Cyprus: Evidence of a Highly Polyphyletic and Evolving Infection,02B; 04_cpx; A1; A6; B; BC; C; D; DG; U,"Kousiappa,I., Van de Vijver,D.A.M.C. and Kosrtikis,L.G."
23616655,2013,51,Naive,Comparison of viral Env proteins from acute and chronic infections with subtype C human immunodeficiency virus type 1 identifies differences in glycosylation and CCR5 utilization and suggests a new strategy for immunogen design,A1; C,"Ping,L.H., Joseph,S.B., Anderson,J.A., Abrahams,M.R., Salazar-Gonzalez,J.F., Kincer,L.P., Treurnicht,F.K., Arney,L., Ojeda,S., Zhang,M., Keys,J., Potter,E.L., Chu,H., Moore,P., Salazar,M.G., Iyer,S., Jabara,C., Kirchherr,J., Mapanje,C., Ngandu,N., Seoighe,C., Hoffman,I., Gao,F., Tang,Y., Labranche,C., Lee,B., Saville,A., Vermeulen,M., Fiscus,S., Morris,L., Karim,S.A., Haynes,B.F., Shaw,G.M., Korber,B.T., Hahn,B.H., Cohen,M.S., Montefiori,D., Williamson,C. and Swanstrom,R."
19193811,2009,49,Naive,Quantitating the multiplicity of infection with human immunodeficiency virus type 1 subtype C reveals a non-poisson distribution of transmitted variants,C,"Abrahams,M.R., Anderson,J.A., Giorgi,E.E., Seoighe,C., Mlisana,K., Ping,L.H., Athreya,G.S., Treurnicht,F.K., Keele,B.F., Wood,N., Salazar-Gonzalez,J.F., Bhattacharya,T., Chu,H., Hoffman,I., Galvin,S., Mapanje,C., Kazembe,P., Thebus,R., Fiscus,S., Hide,W., Cohen,M.S., Karim,S.A., Haynes,B.F., Shaw,G.M., Hahn,B.H., Korber,B.T., Swanstrom,R. and Williamson,C."
26041893,2015,48,Naive,Long-Range HIV Genotyping Using Viral RNA and Proviral DNA for Analysis of HIV Drug Resistance and HIV Clustering,C,"Novitsky,V., Zahralban-Steele,M., McLane,M.F., Moyo,S., van Widenfelt,E., Gaseitsiwe,S., Makhema,J. and Essex,M."
27314585,2016,47,Naive,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates established at the External Quality Assurance Program Oversight Laboratory (EQAPOL),01_AE; 02_AG; A1B; B; BF1; C; D; F1; F2; U,"Hora,B., Chen,Y., Denny,T.N. and Gao,F."
28068781,2017,47,Unknown,Complex phylogeny of HIV-1 among drug users in Kenya,A1; A1A2; A1C; A1CD; A1D; C; CD; D,"Gounder,K., Ongeri,M., Padayachi,N., Zulu,T.M., de Oliveira,T., Wylie,J. and Ndung'u,T."
15186527,2004,45,Naive,Development and application of a high-throughput HIV type 1 genotyping assay to identify CRF02_AG in West/West Central Africa,0102A; 01ADF2; 02A1U; 02G; 02_AG; 11_cpx; 13_cpx; 22A1U; 22DU; 22_01A1; 25_cpx; A1F2; AF2; AGU; AHJU; D; F2; G,"Kijak,G.H., Sanders-Buell,E., Wolfe,N.D., Mpoudi-Ngole,E., Kim,B., Brown,B., Robb,M.L., Birx,D.L., Burke,D.S., Carr,J.K. and McCutchan,F.E."
23714744,2013,45,Naive,Prevalence of HIV-1 dual infection in long-term nonprogressor-elite controllers,B,"Pernas,M., Casado,C., Sandonis,V., Arcones,C., Rodriguez,C., Ruiz-Mateos,E., Ramirez de Arellano,E., Rallon,N., Del Val,M., Grau,E., Lopez-Vazquez,M., Leal,M., Del Romero,J. and Lopez Galindez,C."
28740221,2017,45,RxRTI,Escape from humoral immunity is associated with treatment failure in HIV-1-infected patients receiving long-term antiretroviral therapy: implication for predicting treatment outcome and designing individual therapeutic regimen,B,"Ouyang,Y., Yin,Q., Li,Z. and Ma,L."
12487816,2002,43,Naive,"Among 46 near full length HIV type 1 genome sequences from Rakai District, Uganda, subtype D and AD recombinants predominate",A1; A1C; A1D; CD; D,"Harris,M.E., Serwadda,D., Sewankambo,N., Kim,B., Kigozi,G., Kiwanuka,N., Phillips,J.B., Wabwire,F., Meehen,M., Lutalo,T., Lane,J.R., Merling,R., Gray,R., Wawer,M., Birx,D.L., Robb,M.L. and McCutchan,F.E."
15592417,2004,43,Naive,Dominant influence of HLA-B in mediating the potential co-evolution of HIV and HLA,02B; A1D; B,"Kiepiela,P., Leslie,A.J., Honeyborne,I., Ramduth,D., Thobakgale,C., Chetty,S., Rathnavalu,P., Moore,C., Pfafferott,K.J., Hilton,L., Zimbwa,P., Moore,S., Allen,T., Brander,C., Addo,M.M., Altfeld,M., James,I., Mallal,S., Bunce,M., Barber,L.D., Szinger,J., Day,C., Klenerman,P., Mullins,J., Korber,B., Coovadia,H.M., Walker,B.D. and Goulder,P.J."
22933290,2012,43,Naive,"Reconstituting the epidemic history of CRF01_AE among MSM in Liaoning, northeastern China: Implication in expanding MSM epidemic in China",01_AE; 07_BC; 59_01B; B,"An,M., Han,X., Xu,J., Chu,Z., Jia,M., Wu,H., Lu,L., Takebe,Y. and Shang,H."
23300446,2012,43,Naive,Central Nervous System Compartmentalization of HIV-1 Subtype C Variants Early and Late in Infection in Young Children,A1C; A1GJ; C; U,"Sturdevant,C.B., Dow,A., Jabara,C.B., Joseph,S.B., Schnell,G., Takamune,N., Mallewa,M., Heyderman,R.S., Van Rie,A. and Swanstrom,R."
25734126,2014,43,Naive,Low Multiplicity of HIV-1 Infection and No Vaccine Enhancement in VAX003 Injection Drug Users,01_AE; 15_01B; B,"Sterrett,S., Learn,G.H., Edlefsen,P.T., Haynes,B.F., Hahn,B.H., Shaw,G.M. and Bar,K.J."
