Accession,PMID,Gene,Subtype,NumAAChanges,NumInsertions,NumDeletions,NumStopCodons,NumApobecs,NumUnusuals,NumFrameShifts
AB097865,14502011,gp41,01B,48,0,0,0,1,4,1
AB097866,14502011,gp41,01BC,69,1,0,0,0,2,2
AB097867,14502011,gp41,01B,56,1,0,0,0,0,2
AB097868,14502011,gp41,01BC,49,0,0,0,1,1,0
AB097869,14502011,gp41,BC,28,0,0,0,0,1,1
AB097871,14502011,gp41,C,75,1,1,0,0,0,1
AB097872,14502011,gp41,01_AE,66,1,0,0,0,0,1
AB097873,14502011,gp41,BC,38,0,0,0,0,0,1
AB428551,18620491,gp41,B,41,0,0,0,0,0,1
AB428552,18620491,gp41,B,42,0,0,0,0,0,1
AB428553,18620491,gp41,B,40,0,0,0,0,0,1
AB428554,18620491,gp41,B,40,0,0,0,0,0,1
AB428555,18620491,gp41,B,41,0,0,0,0,0,1
AB428556,18620491,gp41,B,42,0,0,0,0,0,1
AB428557,18620491,gp41,B,43,0,0,0,0,1,1
AB428558,18620491,gp41,B,30,0,0,0,0,0,1
AB428559,18620491,gp41,B,29,0,0,0,0,0,1
AB428560,18620491,gp41,B,36,0,0,0,0,0,1
AB428561,18620491,gp41,B,32,0,0,0,0,1,1
AB428562,18620491,gp41,B,35,0,0,0,0,0,1
AB588196,21526184,gp41,B,30,0,0,0,0,0,0
AB588207,21526184,gp41,B,30,0,0,0,0,0,0
AB588209,21526184,gp41,B,29,0,0,0,0,0,0
AB588211,21526184,gp41,B,29,0,0,0,0,0,1
AB588223,21526184,gp41,B,27,0,0,0,0,0,1
AB588232,21526184,gp41,B,31,0,0,0,0,0,1
AB588243,21526184,gp41,B,42,0,0,0,0,0,0
AB588253,21526184,gp41,B,51,0,0,0,0,1,1
AB588263,21526184,gp41,B,42,0,0,0,0,1,1
AB588271,21526184,gp41,B,57,0,0,0,0,1,1
AB588283,21526184,gp41,B,32,0,0,0,0,0,0
AB588291,21526184,gp41,B,32,0,0,0,0,0,0
AB588311,21526184,gp41,B,49,0,0,0,0,0,0
AB588319,21526184,gp41,B,35,0,0,0,0,1,0
AB588329,21526184,gp41,B,45,1,0,0,0,2,1
AB703607,22916738,gp41,35_AD,72,1,0,0,0,0,1
AB703608,22916738,gp41,35_AD,83,1,2,2,0,0,2
AB703609,22916738,gp41,35_AD,71,1,0,0,0,0,1
AB703610,22916738,gp41,35_AD,73,1,0,0,0,0,1
AB703611,22916738,gp41,35_AD,74,1,0,0,0,0,1
AB703612,22916738,gp41,35_AD,70,1,0,0,0,1,1
AB703613,22916738,gp41,35_AD,75,1,0,0,0,1,1
AB703614,22916738,gp41,35_AD,74,1,6,0,0,1,3
AB703615,22916738,gp41,35_AD,78,1,5,1,0,0,3
AB703616,22916738,gp41,01_AE,63,1,0,0,0,0,1
AF025749,9519894,gp41,B,19,0,0,0,0,0,1
AF025750,9519894,gp41,B,19,0,0,0,0,0,0
AF025751,9519894,gp41,B,19,0,0,0,0,0,0
AF025752,9519894,gp41,B,30,0,0,0,0,0,0
AF025753,9519894,gp41,B,29,0,0,1,1,1,0
AF025754,9519894,gp41,B,19,0,0,0,0,1,0
AF025755,9519894,gp41,B,21,0,0,0,0,1,0
AF025756,9519894,gp41,B,29,0,0,0,0,2,0
AF025757,9519894,gp41,B,25,0,0,0,0,0,1
AF025759,9519894,gp41,B,25,0,0,1,0,2,1
