PubMedID,PubYear,Title,Authors,NumPatients
24522911,2014,Host-Specific Adaptation of HIV-1 Subtype B in the Japanese Population,"Chikata,T., Carlson,J.M., Tamura,Y., Borghan,M.A., Naruto,T., Hashimoto,M., Murakoshi,H., Le,A.Q., Mallal,S., John,M., Gatanaga,H., Oka,S., Brumme,Z.L. and Takiguchi,M.",397
19690614,,"HLA-associated immune escape pathways in HIV-1 subtype B Gag, Pol and Nef proteins","Brumme,Z.L., John,M., Carlson,J.M., Brumme,C.J., Chan,D., Brockman,M.A., Swenson,L.C., Tao,I., Szeto,S., Rosato,P., Sela,J., Kadie,C.M., Frahm,N., Brander,C., Haas,D.W., Riddler,S.A., Haubrich,R., Walker,B.D., Harrigan,P.R., Heckerman,D. and Mallal,S.",328
19242411,,Adaptation of HIV-1 to human leukocyte antigen class I,"Kawashima,Y., Pfafferott,K., Frater,J., Matthews,P., Payne,R., Addo,M., Gatanaga,H., Fujiwara,M., Hachiya,A., Koizumi,H., Kuse,N., Oka,S., Duda,A., Prendergast,A., Crawford,H., Leslie,A., Brumme,Z., Brumme,C., Allen,T., Brander,C., Kaslow,R., Tang,J., Hunter,E., Allen,S., Mulenga,J., Branch,S., Roach,T., John,M., Mallal,S., Ogwu,A., Shapiro,R., Prado,J.G., Fidler,S., Weber,J., Pybus,O.G., Klenerman,P., Ndung'u,T., Phillips,R., Heckerman,D., Harrigan,P.R., Walker,B.D., Takiguchi,M. and Goulder,P.",317
20702636,2010,Gag-protease-mediated replication capacity in HIV-1 subtype C chronic infection: associations with HLA type and clinical parameters,"Wright,J.K., Brumme,Z.L., Carlson,J.M., Heckerman,D., Kadie,C.M., Brumme,C.J., Wang,B., Losina,E., Miura,T., Chonco,F., van der Stok,M., Mncube,Z., Bishop,K., Goulder,P.J., Walker,B.D., Brockman,M.A. and Ndung'u,T.",269
16701907,2006,"Large-scale amplification, cloning and sequencing of near full-length HIV-1 subtype C genomes","Rousseau,C.M., Birditt,B.A., McKay,A.R., Stoddard,J.N., Lee,T.C., McLaughlin,S., Moore,S.W., Shindo,N., Learn,G.H., Korber,B.T., Brander,C., Goulder,P.J., Kiepiela,P., Walker,B.D. and Mullins,J.I.",234
25013080,2014,HIV transmission. Selection bias at the heterosexual HIV-1 transmission bottleneck,"Carlson,J.M., Schaefer,M., Monaco,D.C., Batorsky,R., Claiborne,D.T., Prince,J., Deymier,M.J., Ende,Z.S., Klatt,N.R., Deziel,C.E., Lin,T.H., Peng,J., Seese,A.M., Shapiro,R., Frater,J., Ndung'U,T., Tang,J., Goepfert,P., Gilmour,J., Price,M.A., Kilembe,W., Heckerman,D., Goulder,P.J., Allen,T.M., Allen,S. and Hunter,E.",225
20567513,2010,HLA-associated immune pressure on Gag protein in CRF01_AE-infected individuals and its association with plasma viral load,"Gesprasert,G., Wichukchinda,N., Mori,M., Shiino,T., Auwanit,W., Sriwanthana,B., Pathipvanich,P., Sawanpanyalert,P., Miura,T., Auewarakul,P., Thitithanyanont,A. and Ariyoshi,K.",207
26381060,,"HIV-1 Thai B strains has spread out of former plasma donors into general population through sexual contact in Henan, China","Li,L., Sun,G., Zhong,P., Han,J., Li,T., Jia,D., Liu,Y., Sun,C., Wang,Z., Li,H., Wang,X. and Li,J.",168
15592417,,Dominant influence of HLA-B in mediating the potential co-evolution of HIV and HLA,"Kiepiela,P., Leslie,A.J., Honeyborne,I., Ramduth,D., Thobakgale,C., Chetty,S., Rathnavalu,P., Moore,C., Pfafferott,K., Hilton,L., Zimbwa,P., Moore,S., Allen,T., Brander,C., Addo,M.M., Atfeld,M., James,I., Mallal,S., Bunce,M., Barber,L.D., Szinger,J., Day,C., Klenerman,P., Mullins,J., Korber,B., Coovadia,H.M., Walker,B.D. and Goulder,P.J.R.",140
27314585,,Characterization of near full-length genome sequences for standard panels of HIV-1 isolates established at the External Quality Assurance Program Oversight Laboratory (EQAPOL),"Hora,B., Chen,Y., Denny,T.N. and Gao,F.",134
22960785,2012,Increased HIV-1 vaccine efficacy against viruses with genetic signatures in Env V2,"Rolland,M., Edlefsen,P.T., Larsen,B.B., Tovanabutra,S., Sanders-Buell,E., Hertz,T., deCamp,A.C., Carrico,C., Menis,S., Magaret,C.A., Ahmed,H., Juraska,M., Chen,L., Konopa,P., Nariya,S., Stoddard,J.N., Wong,K., Zhao,H., Deng,W., Maust,B.S., Bose,M., Howell,S., Bates,A., Lazzaro,M., O'Sullivan,A., Lei,E., Bradfield,A., Ibitamuno,G., Assawadarachai,V., O'Connell,R.J., deSouza,M.S., Nitayaphan,S., Rerks-Ngarm,S., Robb,M.L., McLellan,J.S., Georgiev,I., Kwong,P.D., Carlson,J.M., Michael,N.L., Schief,W.R., Gilbert,P.B., Mullins,J.I. and Kim,J.H.",120
28424286,2017,Subtype-Specific Differences in Gag-Protease-Driven Replication Capacity are Consistent with Inter-Subtype Differences in HIV-1 Disease Progression,"Kiguoya,M., Mann,J.K., Chopera,D., Gounder,K., Lee,G., Hunt,P., Martin,J., Ball,T., Kimani,J., Brumme,Z.L., Brockman,M.A. and Ndung'u,T.",114
25560398,2015,"CRF07_BC strain dominates the HIV-1 epidemic in injection drug users in Liangshan prefecture of Sichuan, China","Li,L., Wei,D., Hsu,W., Li,T., Gui,T., Wood,C., Liu,Y., Li,H., Bao,Z., Liu,S., Wang,X. and Li,J.",102
23121221,2013,"Genetic Characterization and Transmitted Drug Resistance of the HIV Type 1 Epidemic in Men Who Have Sex with Men in Beijing, China","Li,L., Han,N., Lu,J., Li,T., Zhong,X., Wu,H., Rayner,S., Chen,L., Liu,Y., Wang,X., Li,H. and Li,J.",90
22039546,2011,A Comparison of Parallel Pyrosequencing and Sanger Clone-Based Sequencing and Its Impact on the Characterization of the Genetic Diversity of HIV-1,"Liang,B., Luo,M., Scott-Herridge,J., Semeniuk,C., Mendoza,M., Capina,R., Sheardown,B., Ji,H., Kimani,J., Ball,B.T., Van Domselaar,G., Graham,M., Tyler,S., Jones,S.J. and Plummer,F.A.",84
19542300,2009,Minor viral and host genetic polymorphisms can dramatically impact the biologic outcome of an epitope-specific CD8 T-cell response,"Geldmacher,C., Metzler,I.S., Tovanabutra,S., Asher,T.E., Gostick,E., Ambrozak,D.R., Petrovas,C., Schuetz,A., Ngwenyama,N., Kijak,G., Maboko,L., Hoelscher,M., McCutchan,F., Price,D.A., Douek,D.C. and Koup,R.A.",78
18596105,,Central role of reverting mutations in HLA associations with human immunodeficiency virus set point,"Matthews,P.C., Prendergast,A., Leslie,A., Crawford,H., Payne,R., Rousseau,C., Rolland,M., Honeyborne,I., Carlson,J., Kadie,C., Brander,C., Bishop,K., Mlotshwa,N., Mullins,J.I., Coovadia,H., Ndung'u,T., Walker,B.D., Heckerman,D. and Goulder,P.J.",76
23807275,2013,The rapidly expanding CRF01_AE epidemic in China is driven by multiple lineages of HIV-1 viruses introduced in the 1990s,"Feng,Y., He,X., Hsi,J.H., Li,F., Li,X., Wang,Q., Ruan,Y., Xing,H., Lam,T.T., Pybus,O.G., Takebe,Y. and Shao,Y.",72
24015191,2013,No Evidence for Selection of HIV-1 with Enhanced Gag-Protease or Nef Function among Breakthrough Infections in the CAPRISA 004 Tenofovir Microbicide Trial,"Chopera,D.R., Mann,J.K., Mwimanzi,P., Omarjee,S., Kuang,X.T., Ndabambi,N., Goodier,S., Martin,E., Naranbhai,V., Karim,S.A., Karim,Q.A., Brumme,Z.L., Ndung'u,T., Williamson,C. and Brockman,M.A.",70
21358627,2011,Genetic impact of vaccination on breakthrough HIV-1 sequences from the STEP trial,"Rolland,M., Tovanabutra,S., deCamp,A.C., Frahm,N., Gilbert,P.B., Sanders-Buell,E., Heath,L., Magaret,C.A., Bose,M., Bradfield,A., O'Sullivan,A., Crossler,J., Jones,T., Nau,M., Wong,K., Zhao,H., Raugi,D.N., Sorensen,S., Stoddard,J.N., Maust,B.S., Deng,W., Hural,J., Dubey,S., Michael,N.L., Shiver,J., Corey,L., Li,F., Self,S.G., Kim,J., Buchbinder,S., Casimiro,D.R., Robertson,M.N., Duerr,A., McElrath,M.J., McCutchan,F.E. and Mullins,J.I.",67
27163788,2016,Differences in the Selection Bottleneck between Modes of Sexual Transmission Influence the Genetic Composition of the HIV-1 Founder Virus,"Tully,D.C., Ogilvie,C.B., Batorsky,R.E., Bean,D.J., Power,K.A., Ghebremichael,M., Bedard,H.E., Gladden,A.D., Seese,A.M., Amero,M.A., Lane,K., McGrath,G., Bazner,S.B., Tinsley,J., Lennon,N.J., Henn,M.R., Brumme,Z.L., Norris,P.J., Rosenberg,E.S., Mayer,K.H., Jessen,H., Kosakovsky Pond,S.L., Walker,B.D., Altfeld,M., Carlson,J.M. and Allen,T.M.",67
21453134,2011,Molecular Characterization of HIV Type 1 Strains from Newly Diagnosed Patients in Cyprus (2007-2009) Recovers Multiple Clades Including Unique Recombinant Strains and Lack of Transmitted Drug Resistance,"Kousiappa,I., Achilleos,C., Hezka,J., Lazarou,Y., Othonos,K., Demetriades,I. and Kostrikis,L.G.",65
17411382,2007,HIV type 1 subtype C gag and nef diversity in Southern Africa,"Bredell,H., Martin,D.P., Van Harmelen,J., Varsani,A., Sheppard,H.W., Donovan,R., Gray,C.M. and Williamson,C.",62
21289112,2011,Influence of Gag-Protease-Mediated Replication Capacity on Disease Progression in Individuals Recently Infected with HIV-1 Subtype C,"Wright,J.K., Novitsky,V., Brockman,M.A., Brumme,Z.L., Brumme,C.J., Carlson,J.M., Heckerman,D., Wang,B., Losina,E., Leshwedi,M., van der Stok,M., Maphumulo,L., Mkhwanazi,N., Chonco,F., Goulder,P.J., Essex,M., Walker,B.D. and Ndung'u,T.",60
25730868,2015,"Replicative fitness of transmitted HIV-1 drives acute immune activation, proviral load in memory CD4+ T cells, and disease progression","Claiborne,D.T., Prince,J.L., Scully,E., Macharia,G., Micci,L., Lawson,B., Kopycinski,J., Deymier,M.J., Vanderford,T.H., Nganou-Makamdop,K., Ende,Z., Brooks,K., Tang,J., Yu,T., Lakhi,S., Kilembe,W., Silvestri,G., Douek,D., Goepfert,P.A., Price,M.A., Allen,S.A., Paiardini,M., Altfeld,M., Gilmour,J. and Hunter,E.",57
18562530,2008,Genetic characterization of human immunodeficiency virus type 1 in elite controllers: lack of gross genetic defects or common amino acid changes,"Miura,T., Brockman,M.A., Brumme,C.J., Brumme,Z.L., Carlson,J.M., Pereyra,F., Trocha,A., Addo,M.M., Block,B.L., Rothchild,A.C., Baker,B.M., Flynn,T., Schneidewind,A., Li,B., Wang,Y.E., Heckerman,D., Allen,T.M. and Walker,B.D.",52
28068781,,Complex phylogeny of HIV-1 among drug users in Kenya,"Gounder,K., Ongeri,M., Padayachi,N., Zulu,T.M., de Oliveira,T., Wylie,J. and Ndung'u,T.",51
23741489,2013,"High Prevalence of HIV-1 Intersubtype B'/C Recombinants among Injecting Drug Users in Dehong, China","Han,X., An,M., Zhao,B., Duan,S., Yang,S., Xu,J., Zhang,M., McGoogan,J.M., Takebe,Y. and Shang,H.",49
20104106,,"Molecular Epidemiology of HIV in Liaoning Province, Northeastern China: Complex Findings in a Low Prevalence Area","Han,X., Tee,K.K., Dai,D., Zhang,M., Liu,J., Li,X.-J., Yang,R., Shang,H. and Takebe,Y.",43
27512845,2016,Significant contribution of subtype G to HIV-1 genetic complexity in Nigeria identified by a newly developed subtyping assay specific for subtype G and CRF02_AG,"Heipertz,R.A. Jr., Ayemoba,O., Sanders-Buell,E., Poltavee,K., Pham,P., Kijak,G.H., Lei,E., Bose,M., Howell,S., O'Sullivan,A.M., Bates,A., Cervenka,T., Kuroiwa,J., Akintunde,A., Ibezim,O., Alabi,A., Okoye,O., Manak,M., Malia,J., Peel,S., Maisaka,M., Singer,D., O'Connell,R.J., Robb,M.L., Kim,J.H., Michael,N.L., Njoku,O. and Tovanabutra,S.",41
27756485,2016,A study of vaccine-induced immune pressure on breakthrough infections in the Phambili phase 2b HIV-1 vaccine efficacy trial,"Hertz,T., Logan,M.G., Rolland,M., Magaret,C.A., Rademeyer,C., Fiore-Gartland,A., Edlefsen,P.T., DeCamp,A., Ahmed,H., Ngandu,N., Larsen,B.B., Frahm,N., Marais,J., Thebus,R., Geraghty,D., Hural,J., Corey,L., Kublin,J., Gray,G., McElrath,M.J., Mullins,J.I., Gilbert,P.B. and Williamson,C.",41
18971283,2009,HLA-associated alterations in replication capacity of chimeric NL4-3 viruses carrying gag-protease from elite controllers of human immunodeficiency virus type 1,"Miura,T., Brockman,M.A., Brumme,Z.L., Brumme,C.J., Pereyra,F., Trocha,A., Block,B.L., Schneidewind,A., Allen,T.M., Heckerman,D. and Walker,B.D.",40
19091871,2009,Transmission and long-term stability of compensated CD8 escape mutations,"Schneidewind,A., Brumme,Z.L., Brumme,C.J., Power,K.A., Reyor,L.L., O'Sullivan,K., Gladden,A., Hempel,U., Kuntzen,T., Wang,Y.E., Oniangue-Ndza,C., Jessen,H., Markowitz,M., Rosenberg,E.S., Sekaly,R.P., Kelleher,A.D., Walker,B.D. and Allen,T.M.",40
11991972,2002,Human immunodeficiency virus type 1 subtype C molecular phylogeny: consensus sequence for an AIDS vaccine design?,"Novitsky,V., Smith,U.R., Gilbert,P., McLane,M.F., Chigwedere,P., Williamson,C., Ndung'u,T., Klein,I., Chang,S.-Y., Peter,T., Thior,I., Foley,B.T., Gaolekwe,S., Rybak,N., Gaseitsiwe,S., Vannberg,F., Marlink,R., Lee,T.-H. and Essex,M.",39
12131217,2002,On-going generation of multiple forms of HIV-1 intersubtype recombinants in the Yunnan Province of China,"Yang,R., Xia,X., Kusagawa,S., Zhang,C., Ben,K. and Takebe,Y.",38
22933290,2012,"Reconstituting the epidemic history of CRF01_AE among MSM in Liaoning, northeastern China: Implication in expanding MSM epidemic in China","An,M., Han,X., Xu,J., Chu,Z., Jia,M., Wu,H., Lu,L., Takebe,Y. and Shang,H.",38
27841669,2016,"HIV-1 Genetic Diversity Among Incident Infections in Mbeya, Tanzania","Billings,E., Sanders-Buell,E., Bose,M., Kijak,G.H., Bradfield,A., Crossler,J., Arroyo,M.A., Maboko,L., Hoffmann,O., Geis,S., Birx,D.L., Kim,J.H., Michael,N.L., Robb,M.L., Hoelscher,M. and Tovanabutra,S.",34
19182918,2009,Genetic analysis of HIV type 1 strains from newly infected untreated patients in cyprus: high genetic diversity and low prevalence of drug resistance,"Kousiappa,I., van de Vijver,D.A., Demetriades,I. and Kostrikis,L.G.",33
22149143,,Pilot Studies for Development of an HIV Subtype Panel for Surveillance of Global Diversity,"Manak,M., Sina,S., Anekella,B., Hewlett,I., Sanders-Buell,E.E., Ragupathy,V., Kim,J.H., Vermeulen,M., Stramer,S., Sabino,E., Grabarczyk,P., Michael,N.L., Peel,S., Garrett,P.E., Tovanabutra,S., Busch,M. and Schito,M.",33
26699702,2015,A PAN-HIV STRATEGY FOR COMPLETE GENOME SEQUENCING,"Berg,M.G., Yamaguchi,J., Alessandri-Gradt,E., Tell,R.W., Plantier,J.C. and Brennan,C.A.",33
27551154,,The Balance Between Transmitted Pre-adapted and Non-adapted Polymorphisms in the Gag Protein is a Major Determinant of HIV-1 Disease Progression,"Monaco,D., Dilernia,D., Gartland,A., Yu,T., Prince,J., Dennis,K., Schaeffer,M., Claiborne,D., Kilembe,W., Tang,J., Price,M., Farmer,P., Gilmour,J., Allen,S., Goepfert,P. and Hunter,E.",29
22236149,2012,"Multiple Introductions of HIV into Men Who Have Sex with Men Were Found in Zhengzhou City, China","Li,L., Sun,G., Li,T., Liu,Y., Chen,L., Liu,H., Cui,W., Li,H., Zhuang,D., Wang,Z. and Li,J.",28
24823961,2014,"Reconstituting the epidemic history of mono lineage of HIV-1 CRF01_AE in Guizhou province, Southern China","Zeng,H., Sun,B., Li,L., Li,Y., Liu,Y., Xiao,Y., Jiang,Y. and Yang,R.",28
20707647,2010,Short Communication: Biological and Genetic Characterization of HIV Type 1 Subtype B and Nonsubtype B Transmitted Viruses: Usefulness for Vaccine Candidate Assessment,"Cuevas,M.T., Fernandez-Garcia,A., Pinilla,M., Garcia-Alvarez,V., Thomson,M., Delgado,E., Gonzalez-Galeano,M., Miralles,C., Serrano-Bengoechea,E., Ojea de Castro,R., Lopez-Alvarez,M.J., Lezaun,M.J., Sanchez-Garcia,A.M., Sanchez-Martinez,M., Munoz-Nieto,M. and Perez-Alvarez,L.",27
16386117,2005,"Molecular epidemiology of the heterosexual HIV-1 transmission in Kunming, Yunnan Province of China suggests origin from the local IDU epidemic","Li,X.J., Kusagawa,S., Xia,X., Yang,C., Wang,Q., Yokota,Y., Hoshina,Y., Onogi,T., Nohtomi,K., Imamura,Y., Shiino,T., Yang,R., Yamamoto,N., Ben,K. and Takebe,Y.",26
27973597,2016,Fast Dissemination of New HIV-1 CRF02/A1 Recombinants in Pakistan,"Chen,Y., Hora,B., DeMarco,T., Shah,S.A., Ahmed,M., Sanchez,A.M., Su,C., Carter,M., Stone,M., Hasan,R., Hasan,Z., Busch,M.P., Denny,T.N. and Gao,F.",26
26018591,2015,Development of an HIV-1 Subtype Panel in China: Isolation and Characterization of 30 HIV-1 Primary Strains Circulating in China,"Han,J., Liu,S., Guo,W., Bao,Z., Wang,X., Li,L., Liu,Y., Zhuang,D., Li,H., Jia,L., Gui,T., Sui,H., Li,T. and Li,J.",25
26599538,,Utility of Unbiased Next-Generation Sequencing for HIV Surveillance,"Luk,K.-C., Berg,M.G., Naccache,S.N., Kabre,B., Federman,S., Mbanya,D., Kaptue,L., Chiu,C.Y., Brennan,C.A. and Hackett,J. Jr.",25
16379612,2005,Analysis of HIV Type 1 Subtype C Full-Length gag Gene Sequences from India: Novel Observations and Plausible Implications,"Gupta,R.M., Prasad,V.V., Rai,A. and Seth,P.",24
19540543,2009,Phylodynamic analysis of the dissemination of HIV-1 CRF01_AE in Vietnam,"Liao,H., Tee,K.K., Hase,S., Uenishi,R., Li,X.J., Kusagawa,S., Thang,P.H., Hien,N.T., Pybus,O.G. and Takebe,Y.",24
18369479,2008,Transmission of HIV-1 CTL escape variants provides HLA-mismatched recipients with a survival advantage,"Chopera,D.R., Woodman,Z., Mlisana,K., Mlotshwa,M., Martin,D.P., Seoighe,C., Treurnicht,F., de Rosa,D.A., Hide,W., Karim,S.A., Gray,C.M. and Williamson,C.",21
25781986,2015,High Frequency of Transmitted HIV-1 Gag HLA Class I-Driven Immune Escape Variants but Minimal Immune Selection over the First Year of Clade C Infection,"Gounder,K., Padayachi,N., Mann,J.K., Radebe,M., Mokgoro,M., van der Stok,M., Mkhize,L., Mncube,Z., Jaggernath,M., Reddy,T., Walker,B.D. and Ndung'u,T.",21
