Accession,PMID,Gene,Subtype,NumAAChanges,NumStopCodons
AB078678,12131217,Gag,08_BC,76,0
AB078679,12131217,Gag,08_BC,74,0
AB078680,12131217,Gag,08_BC,70,0
AB078681,12131217,Gag,07_BC,65,0
AB078682,12131217,Gag,08_BC,73,0
AB078683,12131217,Gag,08_BC,80,0
AB078684,12131217,Gag,08_BC,73,0
AB078685,12131217,Gag,08_BC,81,0
AB078686,12131217,Gag,08_BC,73,0
AB078687,12131217,Gag,08_BC,70,0
AB078688,12131217,Gag,BC,75,0
AB078689,12131217,Gag,08_BC,76,0
AB078690,12131217,Gag,08_BC,70,0
AB078691,12131217,Gag,BC,76,0
AB078692,12131217,Gag,08_BC,73,0
AB078693,12131217,Gag,08_BC,69,0
AB078694,12131217,Gag,07_BC,66,0
AB078695,12131217,Gag,08_BC,80,0
AB078696,12131217,Gag,08_BC,77,0
AB078697,12131217,Gag,08_BC,76,0
AB078698,12131217,Gag,08_BC,74,0
AB078699,12131217,Gag,08_BC,74,0
AB078700,12131217,Gag,08_BC,81,0
AB078701,12131217,Gag,08_BC,77,0
AB078702,12131217,Gag,08_BC,73,0
AB078703,12131217,Gag,B,26,0
AB078704,12131217,Gag,B,25,0
AB078705,12131217,Gag,BC,65,0
AB078706,12131217,Gag,01B,38,0
AB078707,12131217,Gag,BC,45,0
AB078708,12131217,Gag,BC,25,0
AB078709,12131217,Gag,B,34,0
AB078710,12131217,Gag,BC,55,0
AB078711,12131217,Gag,B,29,0
AB078712,12131217,Gag,BC,65,0
AB078713,12131217,Gag,BC,36,0
AB078714,12131217,Gag,BC,32,0
AB078715,12131217,Gag,BC,32,0
AB078716,12131217,Gag,BC,73,0
AB097865,14502011,Gag,01B,30,1
AB097866,14502011,Gag,01BC,59,0
AB097867,14502011,Gag,01B,89,0
AB097868,14502011,Gag,01BC,72,0
AB097869,14502011,Gag,BC,26,0
AB097870,14502011,Gag,B,28,0
AB097871,14502011,Gag,C,71,0
AB097872,14502011,Gag,01_AE,80,0
AB097873,14502011,Gag,BC,27,0
AB213667,16386117,Gag,B,21,0
AB213668,16386117,Gag,B,19,0
AB213669,16386117,Gag,01_AE,86,0
AB213670,16386117,Gag,B,21,0
AB213671,16386117,Gag,08_BC,71,0
AB213672,16386117,Gag,B,19,0
AB213673,16386117,Gag,07_BC,78,0
AB213674,16386117,Gag,08_BC,76,0
AB213675,16386117,Gag,07_BC,72,0
AB213676,16386117,Gag,07_BC,61,0
AB213677,16386117,Gag,07_BC,64,0
AB213678,16386117,Gag,08_BC,70,0
AB213679,16386117,Gag,08_BC,70,0
AB213680,16386117,Gag,07_BC,69,0
AB213681,16386117,Gag,08_BC,80,0
AB213682,16386117,Gag,08_BC,74,0
AB213683,16386117,Gag,08_BC,70,0
AB213684,16386117,Gag,07_BC,65,0
AB213685,16386117,Gag,08_BC,73,0
AB213686,16386117,Gag,07_BC,74,0
AB213687,16386117,Gag,08_BC,76,0
AB213688,16386117,Gag,08_BC,75,0
AB213689,16386117,Gag,07_BC,67,0
AB213690,16386117,Gag,0108,75,0
AB213691,16386117,Gag,0107,66,0
AB213692,16386117,Gag,B,23,0
AB428551,18620491,Gag,B,29,0
AB428552,18620491,Gag,B,22,0
AB428553,18620491,Gag,B,30,0
AB428554,18620491,Gag,B,27,0
AB428555,18620491,Gag,B,30,0
AB428556,18620491,Gag,B,38,0
AB428557,18620491,Gag,B,37,0
AB428558,18620491,Gag,B,35,1
AB428559,18620491,Gag,B,37,1
AB428560,18620491,Gag,B,43,1
AB428561,18620491,Gag,B,27,1
AB428562,18620491,Gag,B,42,1
AB703607,22916738,Gag,35_AD,73,0
AB703608,22916738,Gag,35_AD,68,0
AB703609,22916738,Gag,35_AD,76,0
AB703610,22916738,Gag,35_AD,74,0
AB703611,22916738,Gag,35_AD,73,0
AB703612,22916738,Gag,35_AD,74,0
AB703613,22916738,Gag,35_AD,71,0
AB703614,22916738,Gag,35_AD,78,0
AB703615,22916738,Gag,35_AD,78,0
AB703616,22916738,Gag,01_AE,89,0
AB845344,26571151,Gag,69_01B,43,0
AB845345,26571151,Gag,69_01B,41,0
AB845346,26571151,Gag,69_01B,43,0
AB845347,26571151,Gag,69_01B,44,0
AB845348,26571151,Gag,69_01B,42,0
AB845349,26571151,Gag,69_01B,51,0
AB859012,26571151,Gag,01B,47,0
AB873205,24522911,Gag,B,42,0
AB873206,24522911,Gag,B,26,0
AB873207,24522911,Gag,B,35,1
AB873208,24522911,Gag,B,42,0
AB873209,24522911,Gag,B,43,0
AB873210,24522911,Gag,B,41,0
AB873211,24522911,Gag,B,31,0
AB873212,24522911,Gag,B,42,0
AB873213,24522911,Gag,B,30,0
AB873214,24522911,Gag,B,24,0
AB873215,24522911,Gag,B,38,0
AB873216,24522911,Gag,B,34,0
AB873217,24522911,Gag,B,45,0
AB873218,24522911,Gag,B,35,1
AB873219,24522911,Gag,B,23,0
AB873220,24522911,Gag,B,24,0
AB873221,24522911,Gag,B,35,0
