Accession,PMID,Gene,Subtype,NumAAChanges,NumStopCodons
AB097865,14502011,gp41,01B,48,0
AB097866,14502011,gp41,01BC,68,0
AB097867,14502011,gp41,01B,55,0
AB097868,14502011,gp41,01BC,49,0
AB097869,14502011,gp41,BC,28,0
AB097870,14502011,gp41,B,45,0
AB097872,14502011,gp41,01_AE,65,0
AB097873,14502011,gp41,BC,38,0
AB428551,18620491,gp41,B,41,0
AB428552,18620491,gp41,B,42,0
AB428553,18620491,gp41,B,40,0
AB428554,18620491,gp41,B,40,0
AB428555,18620491,gp41,B,41,0
AB428556,18620491,gp41,B,42,0
AB428557,18620491,gp41,B,43,0
AB428558,18620491,gp41,B,30,0
AB428559,18620491,gp41,B,29,0
AB428560,18620491,gp41,B,36,0
AB428561,18620491,gp41,B,32,0
AB428562,18620491,gp41,B,35,0
AB588197,21526184,gp41,B,29,0
AB588207,21526184,gp41,B,30,0
AB588209,21526184,gp41,B,29,0
AB588211,21526184,gp41,B,29,0
AB588228,21526184,gp41,B,24,0
AB588233,21526184,gp41,B,29,0
AB588244,21526184,gp41,B,41,0
AB588253,21526184,gp41,B,51,0
AB588265,21526184,gp41,B,41,0
AB588271,21526184,gp41,B,57,0
AB588283,21526184,gp41,B,32,0
AB588299,21526184,gp41,B,31,0
AB588307,21526184,gp41,B,36,0
AB588313,21526184,gp41,B,43,0
AB588319,21526184,gp41,B,35,0
AB588334,21526184,gp41,B,42,0
AB703612,22916738,gp41,35_AD,67,0
AB703614,22916738,gp41,35_AD,73,0
AB703616,22916738,gp41,01_AE,61,0
AF025749,9519894,gp41,B,19,0
AF025750,9519894,gp41,B,19,0
AF025751,9519894,gp41,B,19,0
AF025752,9519894,gp41,B,30,0
AF025753,9519894,gp41,B,29,1
AF025754,9519894,gp41,B,19,0
AF025755,9519894,gp41,B,21,0
AF025756,9519894,gp41,B,29,0
AF025757,9519894,gp41,B,25,0
AF025759,9519894,gp41,B,25,1
AF025760,9519894,gp41,B,20,0
AF025761,9519894,gp41,B,21,0
AF025762,9519894,gp41,B,30,0
AF025764,9519894,gp41,B,22,0
AF041125,10445815,gp41,B,24,0
AF041126,10445815,gp41,B,37,0
AF041127,10445815,gp41,B,38,0
AF041130,10445815,gp41,B,32,0
AF041131,10445815,gp41,B,36,0
AF041132,10445815,gp41,B,26,0
AF041133,10445815,gp41,B,28,0
AF041134,10445815,gp41,B,34,0
AF041135,10445815,gp41,B,40,0
AF069932,9986789,gp41,AU,64,0
AF069933,9986789,gp41,02_AG,65,0
AF069934,9986789,gp41,06_cpx,74,0
AF069935,9986789,gp41,G,61,0
AF069937,9986789,gp41,G,62,0
AF069939,9986789,gp41,AU,56,0
AF069943,9986789,gp41,G,63,0
AF069945,9986789,gp41,11_cpx,60,0
AF069947,9986789,gp41,G,65,0
AF070703,10826486,gp41,01_AE,63,0
AF070704,10826486,gp41,01_AE,61,0
AF070705,10826486,gp41,01_AE,65,0
AF070706,10826486,gp41,01_AE,66,0
AF070708,10826486,gp41,01_AE,61,0
AF070709,10826486,gp41,01_AE,70,0
AF070710,10826486,gp41,01_AE,65,0
AF070711,10826486,gp41,01_AE,56,0
AF070712,10826486,gp41,01_AE,66,0
AF070713,10826486,gp41,01_AE,63,0
AF110962,10196340,gp41,C,66,0
AF110967,10196340,gp41,C,66,0
AF110969,10196340,gp41,C,71,0
AF110973,10196340,gp41,C,74,0
AF110980,10196340,gp41,C,66,0
AF277054,10984542,gp41,B,35,0
AF277055,10984542,gp41,B,32,0
AF277059,10984542,gp41,B,27,0
AF277061,10984542,gp41,B,45,0
AF277062,10984542,gp41,B,37,0
AF277064,10984542,gp41,B,36,0
AF277065,10984542,gp41,B,39,0
AF277066,10984542,gp41,B,32,0
AF277067,10984542,gp41,B,36,0
AF277069,10984542,gp41,B,26,0
AF277070,10984542,gp41,B,28,0
AF277071,10984542,gp41,B,36,0
AF277073,10984542,gp41,B,27,0
AF277074,10984542,gp41,B,45,0
AF332867,11752707,gp41,BF,56,0
AF361871,11504977,gp41,A1C,63,0
AF361872,11504977,gp41,A1,65,0
AF361873,11504977,gp41,A1,63,0
AF361874,11504977,gp41,C,74,0
AF361875,11504977,gp41,C,76,0
AF361876,11504977,gp41,A1C,70,0
AF361877,11504977,gp41,CD,57,0
AF361878,11504977,gp41,A1C,68,0
AF385934,11600844,gp41,12_BF,43,0
AF385935,11600844,gp41,12_BF,49,0
AF385936,11600844,gp41,12_BF,55,0
AF391230,11709098,gp41,C,63,0
AF391233,11709098,gp41,C,69,0
AF391234,11709098,gp41,C,70,0
AF391238,11709098,gp41,C,76,1
AF391240,11709098,gp41,C,70,0
AF391242,11709098,gp41,C,74,0
AF391245,11709098,gp41,C,71,0
AF391247,11709098,gp41,C,72,1
AF391249,11709098,gp41,C,71,0
AF391250,11709098,gp41,C,80,0
AF408626,11752707,gp41,BF,47,0
AF408627,11752707,gp41,BF,57,0
AF408629,11752707,gp41,12_BF,51,0
AF408630,11752707,gp41,12_BF,57,0
AF408631,11752707,gp41,BF,51,0
AF408632,11752707,gp41,BF,49,0
AF443074,11991972,gp41,C,66,0
AF443075,11991972,gp41,C,69,0
AF443077,11991972,gp41,C,64,0
AF443079,11991972,gp41,C,66,0
AF443081,11991972,gp41,C,69,0
AF443082,11991972,gp41,C,70,0
AF443083,11991972,gp41,C,65,0
AF443086,11991972,gp41,C,66,0
AF443088,11991972,gp41,C,69,0
AF443089,11991972,gp41,C,75,0
AF443090,11991972,gp41,C,68,1
AF443092,11991972,gp41,C,65,0
AF443093,11991972,gp41,C,71,0
AF443094,11991972,gp41,C,73,0
AF443095,11991972,gp41,C,68,0
AF443096,11991972,gp41,C,64,0
AF443097,11991972,gp41,C,67,0
AF443098,11991972,gp41,C,69,0
AF443099,11991972,gp41,C,66,0
AF443102,11991972,gp41,C,73,0
AF443103,11991972,gp41,C,68,0
AF443104,11991972,gp41,C,65,0
AF443105,11991972,gp41,C,78,0
AF443107,11991972,gp41,C,69,0
AF443108,11991972,gp41,C,71,0
AF443109,11991972,gp41,C,69,0
AF443110,11991972,gp41,C,75,0
AF443111,11991972,gp41,C,67,0
AF443112,11991972,gp41,C,72,0
AF443114,11991972,gp41,C,74,0
AF457051,12218394,gp41,21_A2D,50,0
AF457052,12218394,gp41,A1,64,0
AF457053,12218394,gp41,A1,72,0
AF457054,12218394,gp41,C,72,0
AF457055,12218394,gp41,A1,72,0
AF457056,12218394,gp41,A1CD,63,0
AF457058,12218394,gp41,A1D,50,0
AF457059,12218394,gp41,A1D,69,0
AF457061,12218394,gp41,A1C,68,0
AF457062,12218394,gp41,A1G,67,0
AF457063,12218394,gp41,A1,65,0
AF457065,12218394,gp41,A1,70,0
AF457068,12218394,gp41,A1,63,0
AF457069,12218394,gp41,A1,58,0
AF457070,12218394,gp41,A1,65,0
AF457072,12218394,gp41,21_A2D,49,0
AF457073,12218394,gp41,A1D,68,0
AF457075,12218394,gp41,A1,64,0
AF457077,12218394,gp41,A1,58,0
AF457078,12218394,gp41,A1D,68,0
AF457081,12218394,gp41,A1,70,0
AF457082,12218394,gp41,A1D,71,1
AF457084,12218394,gp41,A1,62,0
AF457085,12218394,gp41,CD,52,0
AF457086,12218394,gp41,A1,63,0
AF457087,12218394,gp41,A1C,68,0
AF457088,12218394,gp41,A1A2D,64,0
AF457089,12218394,gp41,A1,66,0
AF484478,12487816,gp41,A1,63,1
AF484479,12487816,gp41,A1D,56,0
AF484480,12487816,gp41,D,49,0
AF484481,12487816,gp41,D,50,0
AF484482,12487816,gp41,A1D,70,0
AF484483,12487816,gp41,D,52,0
AF484485,12487816,gp41,D,52,0
AF484486,12487816,gp41,D,47,0
AF484487,12487816,gp41,D,48,0
AF484488,12487816,gp41,A1D,47,0
AF484489,12487816,gp41,D,47,0
AF484490,12487816,gp41,D,54,0
AF484492,12487816,gp41,A1D,50,0
AF484493,12487816,gp41,A1,65,0
AF484494,12487816,gp41,D,43,0
AF484495,12487816,gp41,D,46,0
AF484496,12487816,gp41,A1D,50,0
AF484497,12487816,gp41,D,45,0
AF484498,12487816,gp41,D,50,0
AF484499,12487816,gp41,D,51,0
AF484500,12487816,gp41,CD,47,0
AF484501,12487816,gp41,A1C,62,0
AF484502,12487816,gp41,D,54,0
AF484503,12487816,gp41,A1D,55,0
AF484504,12487816,gp41,D,52,0
AF484505,12487816,gp41,D,57,0
AF484506,12487816,gp41,D,47,0
AF484508,12487816,gp41,A1,71,0
AF484509,12487816,gp41,A1,62,0
AF484510,12487816,gp41,A1D,49,0
AF484511,12487816,gp41,D,53,0
AF484512,12487816,gp41,A1,64,0
AF484515,12487816,gp41,D,47,0
AF484516,12487816,gp41,D,42,0
AF484517,12487816,gp41,A1D,51,0
AF484518,12487816,gp41,D,55,0
AF484519,12487816,gp41,D,55,0
AF484520,12487816,gp41,A1D,62,0
AF484521,12487816,gp41,A1D,44,0
AF484522,12487816,gp41,A1D,37,0
AJ277823,9986789,gp41,11_cpx,62,0
AJ401034,11044094,gp41,A4,62,0
AJ401035,11044094,gp41,FKU,68,0
AJ401036,11044094,gp41,JU,62,0
AJ401037,11044094,gp41,D,48,0
AJ401038,11044094,gp41,26_A5U,62,0
AJ401039,11044094,gp41,U,58,0
AJ401040,11044094,gp41,A1,62,0
AJ401041,11044094,gp41,J,63,0
AJ401043,11044094,gp41,U,67,0
AJ401044,11044094,gp41,26C,67,0
AJ401046,11044094,gp41,AJ,67,0
AM279343,16817969,gp41,A1,66,0
AM279345,16817969,gp41,02A1,59,0
AM279346,16817969,gp41,G,63,0
AM279348,16817969,gp41,A1,66,0
AM279350,16817969,gp41,G,66,0
AM279351,16817969,gp41,G,63,0
AM279352,16817969,gp41,02_AG,59,0
AM279353,16817969,gp41,ADU,60,0
AM279354,16817969,gp41,A,61,0
AM279355,16817969,gp41,02A1,71,0
AM279357,16817969,gp41,02A1,71,0
AM279358,16817969,gp41,02_AG,71,0
AM279359,16817969,gp41,G,66,0
AM279361,16817969,gp41,02_AG,72,0
AM279362,16817969,gp41,02A1,68,0
AM279364,16817969,gp41,09A,64,0
AM279365,16817969,gp41,G,60,0
AM279366,16817969,gp41,A1,68,0
AM279367,16817969,gp41,02_AG,65,0
AM279368,16817969,gp41,AG,71,0
AM279369,16817969,gp41,A1A3,65,0
AY037266,11600844,gp41,BF,54,0
AY037267,11600844,gp41,BF,35,0
AY037268,11600844,gp41,B,45,0
AY037269,11600844,gp41,B,36,0
AY037270,11600844,gp41,B,24,0
AY037271,11600844,gp41,BF,45,0
AY037272,11600844,gp41,BF,49,0
AY037275,11600844,gp41,BF,47,0
AY037277,11600844,gp41,BF,45,0
AY037278,11600844,gp41,BF,46,0
AY037280,11600844,gp41,BF,58,0
AY037281,11600844,gp41,17_BF,53,0
AY037282,11600844,gp41,B,32,0
AY247218,12743293,gp41,B,18,0
AY247219,12743293,gp41,B,15,0
AY247220,12743293,gp41,B,20,0
AY247221,12743293,gp41,B,12,0
AY247222,12743293,gp41,B,20,0
AY247223,12743293,gp41,B,15,0
AY247224,12743293,gp41,B,21,0
AY247225,12743293,gp41,B,20,0
AY253305,15320994,gp41,A1,60,0
AY253307,15320994,gp41,C,76,0
AY253309,15320994,gp41,CD,59,0
AY253310,15320994,gp41,C,71,0
AY253311,15320994,gp41,D,50,0
AY253312,15320994,gp41,C,74,0
AY253314,15320994,gp41,A1,68,0
AY253315,15320994,gp41,A1C,66,0
AY253316,15320994,gp41,A1D,60,0
AY253319,15320994,gp41,A1C,68,1
AY253320,15320994,gp41,C,67,0
AY253321,15320994,gp41,C,66,1
AY253322,15320994,gp41,C,64,0
AY331284,16103205,gp41,B,39,0
AY331287,16103205,gp41,B,33,0
AY331289,16103205,gp41,B,32,0
AY331291,16103205,gp41,B,39,0
AY331292,16103205,gp41,B,47,0
AY358036,15186520,gp41,01_AE,70,0
AY358037,15186520,gp41,01_AE,63,0
AY358038,15186520,gp41,01_AE,66,0
AY358039,15186520,gp41,01_AE,57,0
AY358040,15186520,gp41,01_AE,62,0
AY358041,15186520,gp41,01_AE,63,0
AY358042,15186520,gp41,01B,61,0
AY358043,15186520,gp41,01_AE,56,0
AY358044,15186520,gp41,01_AE,63,0
AY358045,15186520,gp41,01_AE,62,0
AY358046,15186520,gp41,01_AE,58,0
AY358047,15186520,gp41,01_AE,57,0
AY358048,15186520,gp41,01_AE,57,0
AY358049,15186520,gp41,01_AE,63,0
AY358050,15186520,gp41,01_AE,62,0
AY358051,15186520,gp41,01_AE,61,0
AY358052,15186520,gp41,01_AE,66,0
AY358056,15186520,gp41,01_AE,67,0
AY358057,15186520,gp41,01_AE,57,0
AY358059,15186520,gp41,01_AE,64,0
AY358060,15186520,gp41,01_AE,60,0
AY358061,15186520,gp41,01_AE,65,0
AY358062,15186520,gp41,01_AE,61,0
AY358063,15186520,gp41,01_AE,62,0
AY358064,15186520,gp41,01_AE,64,0
AY358065,15186520,gp41,01_AE,57,0
AY358066,15186520,gp41,01_AE,56,0
AY358067,15186520,gp41,01_AE,58,0
AY358068,15186520,gp41,01_AE,62,0
AY358069,15186520,gp41,01B,51,0
AY358070,15186520,gp41,01B,62,0
AY358071,15186520,gp41,01B,50,0
AY358072,15186520,gp41,01B,50,0
AY358073,15186520,gp41,01B,48,0
AY371121,15186527,gp41,G,59,0
AY371122,15186527,gp41,02_AG,69,0
AY371127,15186527,gp41,02_AG,68,0
AY371128,15186527,gp41,02_AG,63,0
AY371129,15186527,gp41,02_AG,69,0
AY371131,15186527,gp41,02_AG,65,0
AY371132,15186527,gp41,02_AG,70,0
AY371134,15186527,gp41,02_AG,64,0
AY371136,15186527,gp41,02_AG,73,0
AY371137,15186527,gp41,02_AG,69,0
AY371138,15186527,gp41,02_AG,67,0
AY371139,15186527,gp41,02_AG,65,0
AY371140,15186527,gp41,02_AG,63,0
AY371142,15186527,gp41,02_AG,61,0
AY371143,15186527,gp41,02A1U,66,0
AY371145,15186527,gp41,0102A,66,0
AY371146,15186527,gp41,02_AG,63,0
AY371147,15186527,gp41,02G,68,0
AY371149,15186527,gp41,11_cpx,54,0
AY371150,15186527,gp41,11_cpx,68,0
AY371151,15186527,gp41,11_cpx,61,0
AY371153,15186527,gp41,11_cpx,72,0
AY371155,15186527,gp41,D,43,0
AY371156,15186527,gp41,D,48,0
AY371157,15186527,gp41,D,44,0
AY371158,15186527,gp41,F2,57,0
AY371159,15186527,gp41,22_01A1,64,0
AY371160,15186527,gp41,AF2,74,0
AY371161,15186527,gp41,AHJU,56,0
AY371162,15186527,gp41,AHJU,59,0
AY371163,15186527,gp41,22A1U,61,0
AY371164,15186527,gp41,A1F2,67,0
AY371165,15186527,gp41,22_01A1,64,0
AY371166,15186527,gp41,AGU,61,0
AY371168,15186527,gp41,22DU,43,0
AY371169,15186527,gp41,25_cpx,63,0
AY371170,15186527,gp41,01ADF2,60,0
AY444799,15929707,gp41,AD,71,0
AY444800,15929707,gp41,C,71,0
AY444803,15929707,gp41,01_AE,66,0
AY444804,15929707,gp41,01_AE,64,0
AY444805,15929707,gp41,01_AE,66,0
AY444806,15929707,gp41,01_AE,65,0
AY444809,15929707,gp41,02_AG,59,0
AY444812,15929707,gp41,01B,62,0
AY463217,16701907,gp41,C,71,0
AY463218,16701907,gp41,C,74,0
AY463221,16701907,gp41,C,72,0
AY463222,16701907,gp41,C,73,0
AY463223,16701907,gp41,C,71,0
AY463225,16701907,gp41,C,70,0
AY463226,16701907,gp41,C,76,0
AY463227,16701907,gp41,C,75,0
AY463228,16701907,gp41,C,72,0
AY463229,16701907,gp41,C,74,0
AY463231,16701907,gp41,C,75,0
AY463232,16701907,gp41,C,72,0
AY463233,16701907,gp41,C,64,0
AY463235,16701907,gp41,C,66,0
AY463236,16701907,gp41,C,69,0
AY463237,16701907,gp41,C,72,0
AY522721,15266112,gp41,C,63,0
AY522722,15266112,gp41,C,70,0
AY522724,15266112,gp41,C,71,0
AY522725,15266112,gp41,C,76,0
AY522726,15266112,gp41,C,69,0
AY522728,15266112,gp41,C,71,0
AY522729,15266112,gp41,C,78,0
AY522730,15266112,gp41,C,64,0
AY522731,15266112,gp41,C,66,0
AY522732,15266112,gp41,C,68,0
AY522733,15266112,gp41,C,70,0
AY522735,15266112,gp41,C,73,0
AY585266,16701907,gp41,C,71,1
AY585267,16701907,gp41,C,78,0
AY585268,16701907,gp41,C,68,0
AY703909,16701907,gp41,C,77,0
