Accession,NumAPOBECs,NumConservedAPOBECSites,ADIndex
K03455,0,41,0.0
A07108,0,41,0.0
A07116,0,41,0.0
A34828,0,41,0.0
AB023804,0,41,0.0
AB032740,0,41,0.0
AB032741,0,41,0.0
AB049811,0,41,0.0
AB052995,0,41,0.0
AB070352,0,41,0.0
AB074049,0,41,0.0
AB074052,0,41,0.0
AB074054,0,41,0.0
AB074057,0,41,0.0
AB074059,0,41,0.0
AB074061,1,41,0.024390243902439025
AB074064,0,41,0.0
AB074067,2,41,0.04878048780487805
AB074070,13,41,0.3170731707317073
AB074073,12,41,0.2926829268292683
AB074076,2,41,0.04878048780487805
AB078005,0,41,0.0
AB078678,0,41,0.0
AB078679,0,41,0.0
AB078680,0,41,0.0
AB078681,0,41,0.0
AB078682,0,41,0.0
AB078683,0,41,0.0
AB078684,0,41,0.0
AB078685,0,41,0.0
AB078686,0,41,0.0
AB078687,0,41,0.0
AB078688,0,41,0.0
AB078689,0,41,0.0
AB078690,0,41,0.0
AB078691,0,41,0.0
AB078692,0,41,0.0
AB078693,0,41,0.0
AB078694,0,41,0.0
AB078695,0,41,0.0
AB078696,0,41,0.0
AB078697,0,41,0.0
AB078698,0,41,0.0
AB078699,0,41,0.0
AB078700,0,41,0.0
AB078701,0,41,0.0
AB078702,0,41,0.0
AB078703,0,41,0.0
AB078704,0,41,0.0
AB078705,0,41,0.0
AB078706,0,41,0.0
AB078707,0,41,0.0
AB078708,0,41,0.0
AB078709,0,41,0.0
AB078710,0,41,0.0
AB078711,0,41,0.0
AB078712,0,41,0.0
AB078713,0,41,0.0
AB078715,0,41,0.0
AB078716,0,41,0.0
AB090997,0,41,0.0
AB097865,0,41,0.0
AB097866,0,41,0.0
AB097867,0,41,0.0
AB097868,0,41,0.0
AB097869,0,41,0.0
AB097870,0,41,0.0
AB097871,0,41,0.0
AB097872,0,41,0.0
AB097873,0,41,0.0
AB098330,0,41,0.0
AB098332,0,41,0.0
AB213667,0,41,0.0
AB213668,0,41,0.0
AB213669,0,41,0.0
AB213670,0,41,0.0
AB213671,0,41,0.0
AB213672,0,41,0.0
AB213673,0,41,0.0
AB213674,0,41,0.0
AB213675,0,41,0.0
AB213676,0,41,0.0
AB213677,0,41,0.0
AB213678,0,41,0.0
AB213679,0,41,0.0
AB213680,0,41,0.0
AB213681,0,41,0.0
AB213682,0,41,0.0
AB213683,0,41,0.0
AB213684,0,41,0.0
AB213685,0,41,0.0
AB213686,0,41,0.0
AB213687,0,41,0.0
AB213688,0,41,0.0
AB213689,0,41,0.0
AB213690,0,41,0.0
AB213691,0,41,0.0
AB213692,0,41,0.0
AB220948,0,41,0.0
AB221005,0,41,0.0
AB221125,0,41,0.0
AB231893,0,41,0.0
AB253421,0,41,0.0
AB253423,0,41,0.0
AB253424,0,41,0.0
AB253426,0,41,0.0
AB253428,0,41,0.0
AB253430,0,41,0.0
AB253635,0,41,0.0
AB253647,0,41,0.0
AB253659,0,41,0.0
AB253692,0,41,0.0
AB253703,0,41,0.0
AB254143,0,41,0.0
AB254146,0,41,0.0
AB254150,0,41,0.0
AB286849,0,41,0.0
AB286853,0,41,0.0
AB286855,0,41,0.0
AB286857,0,41,0.0
AB286859,0,41,0.0
AB286861,0,41,0.0
AB286863,0,41,0.0
AB286955,0,41,0.0
AB287364,0,41,0.0
AB287366,0,41,0.0
AB287369,0,41,0.0
AB287376,0,41,0.0
AB287378,0,41,0.0
AB289587,0,41,0.0
AB289589,0,41,0.0
AB428551,0,41,0.0
AB428552,0,41,0.0
AB428553,0,41,0.0
AB428554,0,41,0.0
AB428555,0,41,0.0
AB428556,0,41,0.0
AB428557,0,41,0.0
AB428558,0,41,0.0
AB428559,0,41,0.0
AB428560,0,41,0.0
AB428561,0,41,0.0
AB428562,1,41,0.024390243902439025
AB468575,0,41,0.0
AB480044,0,41,0.0
AB480047,0,41,0.0
AB480298,0,41,0.0
AB480300,0,41,0.0
AB480692,0,41,0.0
AB480696,0,41,0.0
AB480698,0,41,0.0
AB485632,0,41,0.0
AB485633,0,41,0.0
AB485634,0,41,0.0
AB485636,0,41,0.0
AB485638,0,41,0.0
AB485641,0,41,0.0
AB485643,0,41,0.0
AB485645,0,41,0.0
AB485648,0,41,0.0
AB485650,0,41,0.0
AB485652,0,41,0.0
AB485654,0,41,0.0
AB485656,0,41,0.0
AB485658,0,41,0.0
AB485660,0,41,0.0
AB485662,0,41,0.0
