Pair	dN/dS
42036_NNRTIs	0.5415558230913903
42183_NNRTIs	0.7140849516765431
55928_NNRTIs	0.4648282276387088
21890_NNRTIs	0.3687806834594891
44969_NNRTIs	0.2919694704226004
108149_NNRTIs	inf
122034_NNRTIs	0.2744291807943824
214046_NNRTIs	0.3262146822721647
232768_NNRTIs	0.07410864444619263
252392_NNRTIs	0.225910181152023
253540_NNRTIs	0.5511474346308194
264159_NNRTIs	0.6161300096718638
9918_NNRTIs	1.223057662764319
25036_NNRTIs	0.1112596771831645
35596_NNRTIs	0.05128327760108831
37879_NNRTIs	0.1455737897327389
