Pair	dN/dS
118827_PIs	inf
26307_PIs	0.7904989578814743
39143_PIs	0
42080_PIs	0.1943604941383484
56120_PIs	1.186351708492483
118860_PIs	-nan
118935_PIs	0.188084999336229
118973_PIs	1.138883524186624
118828_PIs	1.304148462753574
118986_PIs	0.4585194730234697
118954_PIs	inf
118745_PIs	-nan
118972_PIs	0.810258392643855
118823_PIs	0
118853_PIs	0.4377718092888027
118886_PIs	0
118792_PIs	-nan
118811_PIs	0.2204534377030069
118903_PIs	0.3868379106085408
118925_PIs	0.06420880119632864
118761_PIs	0.6920772001069401
118846_PIs	0.5370281755047058
118956_PIs	1.138674874524221
118849_PIs	0
