Pair	dN/dS
118827_PIs	0.3402962661882651
26307_PIs	0.88968884341789
39143_PIs	0.5088252226744362
42080_PIs	0.1254495963300694
56120_PIs	0.3872632585896658
118860_PIs	-nan
118935_PIs	0.06322995573117762
118973_PIs	0.6458272194122676
118828_PIs	0.08077928549108193
118986_PIs	0.5383054314997493
118954_PIs	0.7666561604258771
118745_PIs	0
118972_PIs	0.1922499850214601
118823_PIs	0.07209632943621876
118853_PIs	0.4104767478824579
118886_PIs	0
118792_PIs	0.2518262849119223
118811_PIs	0.2074514987690587
118903_PIs	0.1010297585005405
118925_PIs	0.0268416372865138
118761_PIs	0.4435364765362659
118846_PIs	0.5605622206173342
118956_PIs	0.1875740123958917
118849_PIs	0
