Pair	dN/dS
8006_PIs	inf
14728_PIs	0.4470263068635538
14736_PIs	inf
18380_PIs	inf
24950_PIs	inf
25082_PIs	0.9057270924386943
26307_PIs	0
38099_PIs	inf
39143_PIs	0.6684221941714696
42080_PIs	4.621697594215865
42654_PIs	2.058499889065914
56141_PIs	0.4619067271405921
56120_PIs	1.33372861631481
57479_PIs	0
118860_PIs	0
118910_PIs	0.1453987798043264
118899_PIs	-nan
118951_PIs	0.7477869445830868
118935_PIs	0.4450832952367695
118973_PIs	0.5615248871227035
118745_PIs	-nan
118972_PIs	0.143845503581788
118903_PIs	0.1500325405796759
118846_PIs	0.4436293156586885
118840_PIs	0.2271692475493205
39270_PIs	0.6182673404318216
118856_PIs	1.76848225436262
118965_PIs	0.1517300701621
