Pair	dN/dS
118827_PIs	0.8393597048922697
26307_PIs	inf
39143_PIs	0.8041716503765745
42080_PIs	0.2304996528275462
56120_PIs	0.7828097342218541
118860_PIs	-nan
118935_PIs	0
118973_PIs	-nan
118828_PIs	0
118986_PIs	0.2505491769657114
118954_PIs	0.3831726839654619
118745_PIs	-nan
118972_PIs	0
118823_PIs	0.3772116214611954
118853_PIs	inf
118886_PIs	-nan
118792_PIs	0.3823496415437642
118811_PIs	0
118903_PIs	0.1206425034165134
118925_PIs	0
118761_PIs	0
118846_PIs	-nan
118956_PIs	0.1265004967835674
118849_PIs	-nan
