Accession,NumAPOBECs,NumConservedAPOBECSites,ADIndex
K03455,0,37,0.0
A07108,0,37,0.0
A07116,0,37,0.0
A34828,0,37,0.0
AB023804,0,37,0.0
AB032740,0,37,0.0
AB032741,0,37,0.0
AB049811,1,37,0.02702702702702703
AB052995,0,37,0.0
AB070352,0,37,0.0
AB078005,0,37,0.0
AB097865,1,37,0.02702702702702703
AB097866,0,37,0.0
AB097867,0,37,0.0
AB097868,1,37,0.02702702702702703
AB097869,0,37,0.0
AB097871,0,37,0.0
AB097872,0,37,0.0
AB097873,0,37,0.0
AB098330,0,37,0.0
AB098332,0,37,0.0
AB220948,0,37,0.0
AB221005,0,37,0.0
AB221125,0,37,0.0
AB231893,0,37,0.0
AB253421,0,37,0.0
AB253423,0,37,0.0
AB253424,0,37,0.0
AB253426,0,37,0.0
AB253428,0,37,0.0
AB253430,0,37,0.0
AB253635,0,37,0.0
AB253647,0,37,0.0
AB253659,0,37,0.0
AB253692,0,37,0.0
AB253703,0,37,0.0
AB254143,0,37,0.0
AB254146,0,37,0.0
AB254150,0,37,0.0
AB262952,0,37,0.0
AB286849,0,37,0.0
AB286851,0,37,0.0
AB286853,0,37,0.0
AB286855,0,37,0.0
AB286857,0,37,0.0
AB286859,0,37,0.0
AB286861,0,37,0.0
AB286863,0,37,0.0
AB286955,0,37,0.0
AB287364,0,37,0.0
AB287366,0,37,0.0
AB287369,0,37,0.0
AB287376,0,37,0.0
AB287378,0,37,0.0
AB289587,0,37,0.0
AB289589,0,37,0.0
AB428551,0,37,0.0
AB428552,0,37,0.0
AB428553,0,37,0.0
AB428554,0,37,0.0
AB428555,0,37,0.0
AB428556,0,37,0.0
AB428557,0,37,0.0
AB428558,0,37,0.0
AB428559,0,37,0.0
AB428560,0,37,0.0
AB428561,0,37,0.0
AB428562,0,37,0.0
AB480044,0,37,0.0
AB480047,0,37,0.0
AB480300,0,37,0.0
AB480692,0,37,0.0
AB480694,0,37,0.0
AB480696,0,37,0.0
AB480698,0,37,0.0
AB485632,0,37,0.0
AB485633,0,37,0.0
AB485634,0,37,0.0
AB485636,0,37,0.0
AB485638,0,37,0.0
AB485641,0,37,0.0
AB485643,0,37,0.0
AB485645,0,37,0.0
AB485648,0,37,0.0
AB485650,0,37,0.0
AB485652,0,37,0.0
AB485654,0,37,0.0
AB485656,0,37,0.0
AB485658,0,37,0.0
AB485660,0,37,0.0
AB485662,0,37,0.0
AB485664,0,37,0.0
AB547463,0,37,0.0
AB547464,0,37,0.0
AB564744,0,37,0.0
AB564746,0,37,0.0
AB565478,0,37,0.0
AB565495,0,37,0.0
AB565497,0,37,0.0
AB565499,0,37,0.0
AB565501,0,37,0.0
AB565503,0,37,0.0
AB588196,0,37,0.0
AB588207,0,37,0.0
AB588209,0,37,0.0
